COC1=CC2=C(OC1=O)C1=C(C=C2)OC(C)(C)C(OC(=O)C23CCC(C)(C(=O)O2)C3(C)C)C1OC(=O)C12CCC(C)(C(=O)O1)C2(C)C,"This molecule contains ester, ether, ketone, and macrocyclic ring functional groups, in which macrocyclic ring may be the most influential for AIDS treatment.",34,191
CC1(Cl)C(=O)NC(=O)NC1O,"This molecule contains an amide group, a carboxylic acid group, a chlorine substituent, and an ether group, in which the amide group may be the most influential for AIDS treatment.",41,132
CCN=C(C#N)NCC,"This molecule contains amine, cyano, imine, and nitrile functional groups, in which imine may be the most influential for AIDS treatment.",32,124
CC1=CC(N)=CC(C)=N1O,"This molecule contains an amine, an aromatic ring, an ether, and a ketone functional groups, in which the amine may be the most influential for AIDS treatment.",35,127
N=C1C=CN(C2CC(F)C(CO)O2)C(=O)N1,"This molecule contains a cyano group, a fluoromethyl group, a hydroxy group, and a lactam ring, in which the lactam ring may be the most influential for AIDS treatment.",40,140
COC(=O)C(Cl)=C1CC1,"This molecule contains an ester, a ketone, a vinyl chloride, and a cyclopropane functional groups, in which the ketone may be the most influential for AIDS treatment.",38,128
O=C1OCC2=C1C=N(O)C=C2,"This molecule contains an enamine, an ether, a lactone, and a pyridine functional group, in which the lactone may be the most influential for AIDS treatment.",36,130
O=C1CC2CCC(C1)S2=O,"This molecule contains a cyclohexene ring, a lactam, a thiolactone, and a tertiary carbon, in which the lactam may be the most influential for AIDS treatment.",39,128
CCOC(C[Se]CC(OCC)OCC)OCC,"This molecule contains ether, hydroxyl, selenoether, and alkyl chains, in which selenoether may be the most influential for AIDS treatment.",34,130
CN(N)C(=O)NCCCl,"This molecule contains an amide group, an amine group, a chloroalkane chain, and a cyano group, in which the amide group may be the most influential for AIDS treatment.",41,126
CN1C=C(NC(=O)NC2=CN(C)C(C(=O)NC3=CN(C)C(C(=O)NC4=C5C=CC(P(=O)(O)O)=CC5=C(P(=O)(O)O)C=C4)=C3)=C2)C=C1C(=O)NC1=CN(C)C(C(=O)NC2=CC=C(P(=O)(O)O)C3=CC(P(=O)(O)O)=CC=C23)=C1.[NaH],"This molecule contains amide, aromatic ring, cyano, and phosphonate functional groups, in which phosphonate may be the most influential for AIDS treatment.",33,244
N=C(CS)NC1CCCCC1,"This molecule contains an amide, nitrile, thioether, and a cyclohexane ring, in which the amide may be the most influential for AIDS treatment.",37,125
OC1C#CCSCC#CC=C1,"This molecule contains an alkyne, aromatic ring, ether, and thioether functional groups, in which the aromatic ring may be the most influential for AIDS treatment.",34,126
O=C(O)C1CCSS1,"This molecule contains a carboxylic acid, a cyclopentane, a disulfide, and a ketone functional groups, in which the disulfide may be the most influential for AIDS treatment.",43,124
CON=CC1=C(Cl)C=CC(NC(=S)C2=C(C)OC=C2)=C1,"This molecule contains an amide, a chloroaromatic ring, a sulfonamide, and a vinyl group, in which the sulfonamide may be the most influential for AIDS treatment.",39,142
I.NC(=O)O.N[Co](N)(N)(N)N,"This molecule contains a cyano group, an isocyanate group, a nitrosyl ligand, and a cobalt coordination complex, in which the cobalt coordination complex may be the most influential for AIDS treatment.",45,134
CC12CP(=O)(O)CC1C2(Cl)Cl,"This molecule contains a cyclopropane, a diketone, a phosphate ester, and chloroalkanes, in which the phosphate ester may be the most influential for AIDS treatment.",40,131
NNC1=NNC(=S)N1N,"This molecule contains an amine, an amide, a triazole ring, and a thiocarbonyl functional group, in which the triazole ring may be the most influential for AIDS treatment.",41,128
NC1=C(N=NC2=CC=C(C=CC3=C(S(=O)(=O)O)C=C(N=NC4=CC(S(=O)(=O)O)=C5C=CC=C(S(=O)(=O)O)C5=C4N)C=C3)C(S(=O)(=O)O)=C2)C=C(S(=O)(=O)O)C2=CC=CC(S(=O)(=O)O)=C21.[NaH],"This molecule contains azo groups, sulfonyl groups, aromatic rings, and sodium cations, in which azo groups may be the most influential for AIDS treatment.",34,232
O=C(O)C(O)(O)C(O)(O)C(=O)O,"This molecule contains carboxylic acids, hydroxyl groups, a ketone, and a five-atom ring, in which the carboxylic acids may be the most influential for AIDS treatment.",42,135
OC1=C2C=CC=CC2=NN=C1,"This molecule contains an aromatic ring, a heteroaromatic ring, an azo group, and a ketone, in which the heteroaromatic ring may be the most influential for AIDS treatment.",41,129
N#CC1=C(N)OC(C2CC2)=N1,"This molecule contains a cyclopropane, cyano, oxadiazole, and pyridine functional groups, in which the oxadiazole may be the most influential for AIDS treatment.",40,130
C=C=CN1N=NNC1=N,"This molecule contains an alkene, an azide, a cyano, and a triazole functional groups, in which the triazole may be the most influential for AIDS treatment.",36,126
O=S1(=O)C=C2CCCCC21,"This molecule contains a cyclohexane ring, an envelope conformation of the five-membered ring sulfur dioxide, and a vinyl group, in which the envelope conformation of the five-membered ring sulfur dioxide may be the most influential for AIDS treatment.",51,128
CNC=O,"This molecule contains a cyano group (CN), an isocyanate group (NCO), and an amine group (NH2), in which the isocyanate group may be the most influential for AIDS treatment.",46,118
CC1=CC(C)=C2SS(=O)NC2=C1,"This molecule contains an alkene, amide, sulfone, and thioether functional groups, in which the sulfone may be the most influential for AIDS treatment.",34,132
CC1(C)C2CCC(=O)C1CC2,"This molecule contains a cyclohexane ring, a ketone group, a methylene bridge, and a tert-butyl group, in which the ketone group may be the most influential for AIDS treatment.",42,130
COC1N(C2CC(F)C(CO)O2)C(=O)NC(=O)C1(C)Br,"This molecule contains an acetal, a bromoalkane, a fluoroalkane, and two amide groups, in which the amide groups may be the most influential for AIDS treatment.",40,146
NC(CC(=O)O)C(=O)O,"This molecule contains an amide, a carboxylic acid, an amino group, and an ester functional group, in which the amide may be the most influential for AIDS treatment.",39,129
O=CNC=CC1=CC=CC=C1O,"This molecule contains an amide, aromatic ring, enamine, and phenol functional groups, in which the amide may be the most influential for AIDS treatment.",33,128
COC1CCN(N(C)C)O1,"This molecule contains an ether, a methoxy group, a morpholine ring, and a tertiary amine, in which the morpholine ring may be the most influential for AIDS treatment.",37,127
CC(CCO)=NNC(N)=S,"This molecule contains an alkene, an ether, a thioamide, and a diazene functional groups, in which the thioamide may be the most influential for AIDS treatment.",38,124
C1=CC=C2SCCCSC2=C1,"This molecule contains aromatic rings, thioethers, and a conjugated system, in which the aromatic rings may be the most influential for AIDS treatment.",31,127
S=CN1CCN(C=S)CC1,"This molecule contains a six-membered heterocycle, isothiourea, thioamide, and secondary amine functional groups, in which isothiourea may be the most influential for AIDS treatment.",42,126
C1CN2N3CCCC23C1,"This molecule contains a cyclohexane ring, an imine, a piperidine ring, and secondary amines, in which the piperidine ring may be the most influential for AIDS treatment.",42,125
CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1,"This molecule contains amide, aromatic rings, imine, and pyridine functional groups, in which the amide may be the most influential for AIDS treatment.",33,143
NC(=O)C(N)C1=CC=CC=C1,"This molecule contains an amide, an amine, an aromatic ring, and a nitrile functional group, in which the amide may be the most influential for AIDS treatment.",37,131
O=C(NCCCl)SCCO,"This molecule contains an amide, a sulfide, a chloroalkane, and a carboxylic acid functional group, in which the amide may be the most influential for AIDS treatment.",41,123
C1=CC2SSSC2C1,"This molecule contains a benzene ring, a trithiolane ring, and two thioether groups, in which the trithiolane ring may be the most influential for AIDS treatment.",39,125
C=CCCC1(C)CCCNC1=S,"This molecule contains an alkene, a cyclohexylamine, a sulfide, and a tertiary carbon center, in which the cyclohexylamine may be the most influential for AIDS treatment.",41,125
CC1=NON=C1C(=O)NN,"This molecule contains an amide, an oxime, a pyrazole ring, and a triazole ring, in which the triazole ring may be the most influential for AIDS treatment.",38,127
CN1NC(=N)N=C1N=S(C)(C)=N,"This molecule contains an amine, isothiocyanate, triazine, and urea functional groups, in which triazine may be the most influential for AIDS treatment.",35,132
