[Cl].CC(C)NCC(O)COc1cccc2ccccc12,"This molecule contains an amine, an ether, a phenyl ring, and a secondary alcohol functional groups, in which the ether may be the most influential for blood-brain-barrier permeability (BBBP).",43,135
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,"This molecule contains an amine, an aromatic ring, an ester, and two chloroalkyl groups, in which the aromatic ring may be the most influential for blood-brain-barrier permeability (BBBP).",45,143
c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,"This molecule contains an amide, a carboxylic acid, a fluorobenzene, and a piperazine functional group, in which the fluorobenzene may be the most influential for blood-brain-barrier permeability (BBBP).",52,151
C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,"This molecule contains an amide, an ether, a phenol, and a piperidine functional groups, in which the piperidine may be the most influential for blood-brain-barrier permeability (BBBP).",45,138
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,"This molecule contains an amide, a benzene ring, a chlorobenzene, and a thiazolidine ring, in which the chlorobenzene may be the most influential for blood-brain-barrier permeability (BBBP).",50,166
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O,"This molecule contains amide, aromatic ring, ester, and thiazolidine functional groups, in which the aromatic ring may be the most influential for blood-brain-barrier permeability (BBBP).",42,189
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NCN5CCCC5)C1=O,"This molecule contains amide, aromatic, ester, and tertiary amine functional groups, in which tertiary amine may be the most influential for blood-brain-barrier permeability (BBBP).",40,189
Cn1c2CCC(Cn3ccnc3C)C(=O)c2c4ccccc14,"This molecule contains an amide, benzene, pyrrole, and pyridine functional groups, in which the pyridine may be the most influential for blood-brain-barrier permeability (BBBP).",44,142
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,"This molecule contains an amide, an ester, a thiomorpholine, and a tertiary amine functional groups, in which the tertiary amine may be the most influential for blood-brain-barrier permeability (BBBP).",48,155
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,"This molecule contains amide, amines, chloropyrimidine, and triazole functional groups, in which chloropyrimidine may be the most influential for blood-brain-barrier permeability (BBBP).",44,134
OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,"This molecule contains amide, ether, ketone, and triazole functional groups, in which the ether may be the most influential for blood-brain-barrier permeability (BBBP).",38,147
CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,"This molecule contains an amide, a furanose ring, a fluoroalkane, and a pyrimidinone functional group, in which the fluoroalkane may be the most influential for blood-brain-barrier permeability (BBBP).",53,152
C(Cl)Cl,"This molecule contains alkyl halide, and alkyl halide functional groups, in which alkyl halide may be the most influential for blood-brain-barrier permeability (BBBP).",39,121
C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,"This molecule contains amide, aromatic, carbamate, and urea functional groups, in which aromatic may be the most influential for blood-brain-barrier permeability (BBBP).",37,173
