[H]C(=O)C([H])(N([H])C(=O)OC([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])C([H])([H])OC([H])([H])[H],"This molecule contains amide, carbonyl, ester, and ether functional groups, in which amide may be the most influential for failing clinical trials for toxicity reasons.",35,217
[H]C1(Cl)C([H])(Cl)C([H])(Cl)C([H])(Cl)C([H])(Cl)C1([H])Cl,"This molecule contains alkane, alkyl halide, and cycloalkane functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",38,150
[H]OC([H])(C(=O)O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C(=O)O,"This molecule contains alcohol, aldehyde, carboxylic acid, and ester functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",40,154
[H]C1=C([H])C(C(N([H])[H])=N([H])[H])=C([H])C(=O)C1=C([H])C([H])=C1C([H])=C([H])C(=C(N([H])[H])N([H])([H])[H])C([H])=C1[H],"This molecule contains alkyne, amine, carbonyl, and aromatic functional groups, in which carbonyl may be the most influential for failing clinical trials for toxicity reasons.",37,197
[H]C1=C([H])C(C(N([H])[H])=N([H])[H])=C([H])C([H])=C1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC1=C([H])C([H])=C(C(N([H])[H])=N([H])[H])C([H])=C1[H],"This molecule contains alcohol, alkene, amine, and ether functional groups.",16,219
O=N(O)O,"This molecule contains nitro, nitrite, and peroxide functional groups, in which nitro may be the most influential for failing clinical trials for toxicity reasons.",32,118
N=O,"This molecule contains nitrogen and oxygen functional groups, in which nitrogen may be the most influential for failing clinical trials for toxicity reasons.",25,116
O=[Tc](=O)(=O)O,"This molecule contains carbonyl, oxide, and peroxide functional groups, in which oxide may be the most influential for failing clinical trials for toxicity reasons.",31,125
O=P(O)(O)F,"This molecule contains a phosphorus group, an oxygen group, and a fluorine group, in which the phosphorus group may be the most influential for failing clinical trials for toxicity reasons.",37,120
O=S(=O)(O)O,"This molecule contains sulfur, oxygen, and two sulfate functional groups, in which sulfate may be the most influential for failing clinical trials for toxicity reasons.",29,122
O=S(O)(O)=S,"This molecule contains sulfur, oxygen, and double bond functional groups, in which sulfur may be the most influential for failing clinical trials for toxicity reasons.",29,120
[SeH2],"This molecule contains Se, H, and functional groups, in which Se may be the most influential for failing clinical trials for toxicity reasons.",27,118
[H]OB(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C1=C([H])N=C([H])C([H])=N1)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],"This molecule contains alcohol, amide, boronic acid, and pyridine functional groups, in which boronic acid may be the most influential for failing clinical trials for toxicity reasons.",37,225
[H]OB(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C1=NC([H])=C([H])N=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],"This molecule contains amine, boronic acid, carbonyl, and imine functional groups, in which boronic acid may be the most influential for failing clinical trials for toxicity reasons.",38,223
[H]OB(O[H])C([H])(N([H])C(=O)C([H])([H])N([H])C(=O)C1=C(Cl)C([H])=C([H])C(Cl)=C1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],"This molecule contains amine, boronic acid, carbonyl, and phenyl functional groups, in which boronic acid may be the most influential for failing clinical trials for toxicity reasons.",38,199
[H]C#CC1(OC(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],"This molecule contains alkyne, carboxylic acid ester, primary amide, and cyclohexane functional groups, in which carboxylic acid ester may be the most influential for failing clinical trials for toxicity reasons.",49,167
[H]C#CC([H])([H])N([H])([H])C1([H])C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C1([H])[H],"This molecule contains alkyne, amine, aromatic, and alkane functional groups, in which aromatic may be the most influential for failing clinical trials for toxicity reasons.",34,172
[H]C#CC([H])([H])C([H])(C1=C([H])C([H])=C(C(=O)N([H])C([H])(C(=O)O)C([H])([H])C([H])([H])C(=O)O)C([H])=C1[H])C([H])([H])C1=C([H])N=C2N=C(N([H])[H])N=C(N([H])[H])C2=N1,"This molecule contains amine, carboxylic acid, nitrile, and alkene functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",42,227
[H]C#N,"This molecule contains a carbon-carbon triple bond, a hydrogen atom, and a nitrile functional group, in which the nitrile group may be the most influential for failing clinical trials for toxicity reasons.",42,119
N#C[Fe](C#N)(C#N)(C#N)(C#N)N=O,"This molecule contains carbon-carbon triple bond, iron, nitrile, and nitro functional groups, in which nitrile may be the most influential for failing clinical trials for toxicity reasons.",39,138
[H]OC1=C(O)C([H])(C([H])(O[H])C([H])([H])O[H])OC1=O,"This molecule contains alcohol, aldehyde, ether, and hemiacetal functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",33,146
[H]SC([H])([H])C([H])(C(=O)O)N([H])([H])[H],"This molecule contains amine, carboxylic acid, thiol, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",41,143
[H]OC([H])([H])C1([H])OC([H])(OC2([H])C([H])(C([H])([H])O[H])OC(O[H])(C([H])([H])O[H])C2([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],"This molecule contains alcohol, ether, hemiacetal, and cyclic ether functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",33,195
[H]O[Al](O[H])OS(=O)(=O)OC([H])([H])C1([H])OC([H])(OC2(C([H])([H])OS(=O)(=O)O[Al](O[H])O[H])OC([H])(OS(=O)(=O)O[Al](O[H])O[H])C([H])(OS(=O)(=O)O[Al](O[H])O[H])C2([H])OS(=O)(=O)O[Al](O[H])O[H])C([H])(OS(=O)(=O)O[Al](O[H])O[H])C([H])(OS(=O)(=O)O[Al](O[H])O[H])C1([H])OS(=O)(=O)O[Al](O[H])O[H],"This molecule contains Al-O, C-H, O-S, and O=S functional groups, in which Al-O may be the most influential for failing clinical trials for toxicity reasons.",36,308
[H]OC([H])([H])C1([H])OC([H])(O[H])C([H])(F)C([H])(O[H])C1([H])O[H],"This molecule contains alcohol, ether, fluorine, and hemiacetal functional groups, in which fluorine may be the most influential for failing clinical trials for toxicity reasons.",34,156
[H]OC([H])([H])C1([H])OC([H])(OC2(C([H])([H])O[H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],"This molecule contains alcohol, ether, hemiacetal, and hemiketal functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",34,195
[H]OC([H])([H])C1([H])OC(=O)C([H])(O[H])C([H])(O[H])C1([H])O[H],"This molecule contains alcohol, aldehyde, carboxylic acid, and ether functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",39,155
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])=O,"This molecule contains alcohol, aldehyde, and ether functional groups, in which aldehyde may be the most influential for failing clinical trials for toxicity reasons.",30,150
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H],"This molecule contains alcohol, ether, and alkane functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",29,161
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C(=O)O,"This molecule contains alcohol, aldehyde, carboxylic acid, and ether functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",39,157
[H]OC([H])([H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])O[H],"This molecule contains alcohol, ether, and aldehyde functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",29,161
[H]N([H])C(N([H])[H])=N([H])[H],"This molecule contains amine, amide, and imine functional groups, in which amine may be the most influential for failing clinical trials for toxicity reasons.",32,134
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,"This molecule contains alkyl, alkyl halide, and fluoro functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",36,154
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"This molecule contains fluorine, carbon, and hydrogen atoms, in which fluorine may be the most influential for failing clinical trials for toxicity reasons.",29,144
[H]OC([H])(C(=O)O)C([H])(O[H])C(=O)O,"This molecule contains alcohol, carboxylic acid, ester, and ketone functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",40,140
[H]SC([H])(C(=O)O)C([H])(S[H])C(=O)O,"This molecule contains carbonyl, carboxyl, thiol, and thioester functional groups, in which thiol may be the most influential for failing clinical trials for toxicity reasons.",38,140
[H]C([H])(OP(=O)(O)O)C(Cl)(Cl)Cl,"This molecule contains alcohol, alkyl halide, carboxylic acid, and alkane functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",41,135
[H]OC([H])([H])C(C([H])([H])O[H])(C([H])([H])O[H])N([H])([H])[H],"This molecule contains alcohol, amine, ether, and alkane functional groups, in which amine may be the most influential for failing clinical trials for toxicity reasons.",33,153
[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],"This molecule contains alcohol, ether, and aldehyde functional groups, in which alcohol may be the most influential for failing clinical trials for toxicity reasons.",29,140
[H]C([H])(ON(=O)O)C([H])(ON(=O)O)C([H])([H])ON(=O)O,"This molecule contains alcohol, amine, ester, and nitro functional groups, in which nitro may be the most influential for failing clinical trials for toxicity reasons.",34,151
[H]OC([H])([H])C([H])(S[H])C([H])([H])S[H],"This molecule contains alcohol, alkane, thiol, and thioether functional groups, in which thiol may be the most influential for failing clinical trials for toxicity reasons.",35,140
FC(F)(F)C(F)(F)C(F)(F)F,"This molecule contains fluorine atoms, alkyl groups, and carbon-carbon bonds, in which fluorine atoms may be the most influential for failing clinical trials for toxicity reasons.",35,129
[H]C(Cl)(Br)C(F)(F)F,"This molecule contains alkyl, alkyl halide, alkyl halide, and fluoroalkane functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",43,127
[H]C(F)(F)OC([H])(Cl)C(F)(F)F,"This molecule contains alcohol, alkyl halide, ether, and alkane functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",37,133
[H]C(F)(F)OC([H])(F)C(F)(F)F,"This molecule contains alcohol, ether, and alkyl halide functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",34,133
FC(F)=C(F)F,"This molecule contains alkene, alkyl halide, and fluoro functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",36,120
[H]C([H])(C(=O)O)N([H])([H])[H],"This molecule contains amine, carboxylic acid, carbonyl, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",42,136
[H]OC(C(=O)O)(C([H])([H])C(=O)O)C([H])([H])C(=O)O,"This molecule contains carboxylic acid, ester, hydroxyl, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",42,151
[H]C(F)(F)OC(F)(F)C([H])(F)Cl,"This molecule contains ether, alkyl halide, alkane, and fluoroalkane functional groups, in which alkyl halide may be the most influential for failing clinical trials for toxicity reasons.",40,133
[H]C(C(=O)O)=C([H])C(=O)O,"This molecule contains aldehyde, carboxylic acid, double bond, and hydroxyl functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",42,134
[H]N([H])C(N([H])[H])=N([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)O)N([H])([H])[H],"This molecule contains amine, amide, carboxylic acid, and alkane functional groups, in which amine may be the most influential for failing clinical trials for toxicity reasons.",38,173
[H]N([H])C([H])([H])C([H])([H])N([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])([H])C([H])([H])C([H])([H])N([H])[H],"This molecule contains amine, amide, and alkane functional groups, in which amine may be the most influential for failing clinical trials for toxicity reasons.",32,200
[H]OC(C([H])([H])C([H])([H])N([H])([H])[H])(P(=O)(O)O)P(=O)(O)O,"This molecule contains alcohol, amine, phosphate, and alkane functional groups, in which phosphate may be the most influential for failing clinical trials for toxicity reasons.",32,157
[H]C([H])(SP(=O)(O)O)C([H])([H])N([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])([H])[H],"This molecule contains amine, carboxylic acid, phosphonate, and thiol functional groups, in which phosphonate may be the most influential for failing clinical trials for toxicity reasons.",40,173
[H]C(F)(F)C(C(=O)O)(C([H])([H])C([H])([H])C([H])([H])N([H])([H])[H])N([H])([H])[H],"This molecule contains amine, carboxylic acid, ester, and fluorine functional groups, in which amine may be the most influential for failing clinical trials for toxicity reasons.",38,168
[H]OC(C([H])([H])C([H])([H])C([H])([H])N([H])([H])[H])(P(=O)(O)O)P(=O)(O)O,"This molecule contains alcohol, alkane, amine, and phosphate functional groups, in which phosphate may be the most influential for failing clinical trials for toxicity reasons.",32,164
[H]C([H])(C(=O)O)C([H])([H])C(=O)O,"This molecule contains carboxylic acid, ketone, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",38,140
[H]C([H])(C(=O)O)C([H])([H])C(=O)C([H])([H])N([H])([H])[H],"This molecule contains amine, carboxylic acid, ketone, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",41,155
[H]OC([H])([H])C([H])([H])C([H])([H])C(=O)O,"This molecule contains alcohol, aliphatic, carboxylic acid, and ketone functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",41,143
[H]N([H])C(=O)C([H])([H])C([H])([H])C([H])(C(=O)O)N([H])([H])[H],"This molecule contains amine, carboxylic acid, ketone, and alkane functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",41,159
[H]N(C(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])(C(=O)O)N([H])([H])[H])C([H])([H])SSC([H])([H])C([H])(C(=O)N([H])C([H])([H])C(=O)O)N([H])C(=O)C([H])([H])C([H])([H])C([H])(C(=O)O)N([H])([H])[H])C([H])([H])C(=O)O,"This molecule contains amine, carbonyl, disulfide, and thiol functional groups, in which carbonyl may be the most influential for failing clinical trials for toxicity reasons.",38,267
[H]C([H])(C(=O)O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])([H])[H],"This molecule contains amine, carboxylic acid, alkane, and alkene functional groups.",21,164
[H]C([H])(C(=O)O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O,"This molecule contains alcohol, aldehyde, alkane, and carboxylic acid functional groups, in which carboxylic acid may be the most influential for failing clinical trials for toxicity reasons.",40,175
[H]C([H])(C(=O)O)N(C([H])([H])C(=O)O)C([H])([H])C([H])([H])N([H])(C([H])([H])C(=O)O)C([H])([H])C(=O)O,"This molecule contains amine, carboxylic acid, ester, and amide functional groups, in which amide may be the most influential for failing clinical trials for toxicity reasons.",38,187
