C=Br([CaH])Br1=Br(Cl)Br(Cl)=Br(Br(=C)[CaH])Br(Cl)=Br1Cl,"This molecule contains alkene, alkyl halide, bromoalkane, and haloalkane functional groups, in which alkene may be the most influential for mutagenicity.",37,142
ClCBr1(Cl)Br(Cl)(Cl)Br2=Br(Cl)Br(Cl)(Cl)Br3(Cl)Br(Cl)(Br(Cl)(Cl)Br(Cl)(Cl)Br4(Br(Cl)(Cl)Cl)Br3(Cl)Br(Cl)(Cl)Br3(Cl)F5Br(Cl)(Cl)Br(Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br5(Cl)Br(Cl)(Br(Cl)(Cl)Cl)Br34Cl)Br2(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br1(Cl)Cl,"This molecule contains Cl, Br, F, and C functional groups, in which Cl may be the most influential for mutagenicity.",27,237
C=Br(Cl)Br([CaH])=Br(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains alkene, alkyl halide, halogen, and alkane functional groups, in which alkyl halide may be the most influential for mutagenicity.",36,136
ClBr1=Br(Cl)Br(Br(Cl)(Cl)Cl)=Br2Br(Cl)=Br(Cl)Br3=Br(Br(Cl)=Br(Cl)Br(Br(Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl)=Br3Cl)Br2=Br1Cl,"This molecule contains bromine, chlorine, and alkyl functional groups, in which bromine may be the most influential for mutagenicity.",28,174
C=Br(CBr1=Br(Cl)Br2=Br(F(Br(Cl)(Cl)Cl)Br3(Cl)F(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br23Br(Cl)(Cl)Cl)Br(Cl)=Br1Cl)F(Cl)Br(Cl)(Cl)Cl,"This molecule contains alkyl halide, alkene, alkyne, and halogen functional groups, in which alkyl halide may be the most influential for mutagenicity.",37,181
[H]Br1=Br(Cl)Br(Cl)=Br(Cl)F=Br1Cl,"This molecule contains halogen, alkyl, and fluoro functional groups, in which halogen may be the most influential for mutagenicity.",29,130
ClF1Br2=Br(Br(Cl)=Br(CBr(Cl)(Cl)Br(Cl)(Cl)Cl)Br(Cl)=Br2Cl)Br(Br(Cl)(Cl)Cl)=Br(Cl)Br1(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains Br, Cl, and F functional groups, in which Br may be the most influential for mutagenicity.",25,170
ClBr(Cl)(Cl)Br(Cl)(I)I,"This molecule contains halogen, alkyl, and aryl functional groups, in which halogen may be the most influential for mutagenicity.",29,122
C=Br(F(Cl)Br(Cl)(Cl)Br(Cl)(Cl)CCl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Cl,"This molecule contains alkyl halide, alkene, and alkane functional groups, in which alkyl halide may be the most influential for mutagenicity.",33,185
C=Br1F2Br3(Cl)F(Br(Cl)(Cl)Cl)Br4=Br(Br(Cl)=Br([CaH])Br(CBr(Cl)(Cl)Cl)=Br4CBr(Cl)(Cl)Cl)Br3(CCl)Br(Cl)(CCl)Br23[K][K]Br1(Br(Cl)(Cl)Cl)F(Br(Cl)(Cl)Cl)Br3=C,"This molecule contains alkene, alkyl halide, bromoalkane, and haloalkane functional groups, in which alkene may be the most influential for mutagenicity.",37,200
