C=Br([CaH])Br1=Br(Cl)Br(Cl)=Br(Br(=C)[CaH])Br(Cl)=Br1Cl,"This molecule contains alkene, alkyl halide, bromoalkane, and haloalkane functional groups, in which alkene may be the most influential for mutagenicity.",37,142
ClCBr1(Cl)Br(Cl)(Cl)Br2=Br(Cl)Br(Cl)(Cl)Br3(Cl)Br(Cl)(Br(Cl)(Cl)Br(Cl)(Cl)Br4(Br(Cl)(Cl)Cl)Br3(Cl)Br(Cl)(Cl)Br3(Cl)F5Br(Cl)(Cl)Br(Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br5(Cl)Br(Cl)(Br(Cl)(Cl)Cl)Br34Cl)Br2(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br1(Cl)Cl,"This molecule contains Br, Cl, F, and H functional groups, in which Br may be the most influential for mutagenicity.",27,237
C=Br(Cl)Br([CaH])=Br(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains alkyl halide, alkene, alkyl halide, and haloalkane functional groups, in which alkene may be the most influential for mutagenicity.",37,136
ClBr1=Br(Cl)Br(Br(Cl)(Cl)Cl)=Br2Br(Cl)=Br(Cl)Br3=Br(Br(Cl)=Br(Cl)Br(Br(Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl)=Br3Cl)Br2=Br1Cl,"This molecule contains Br, Cl, and = functional groups, in which Br may be the most influential for mutagenicity.",25,174
C=Br(CBr1=Br(Cl)Br2=Br(F(Br(Cl)(Cl)Cl)Br3(Cl)F(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br23Br(Cl)(Cl)Cl)Br(Cl)=Br1Cl)F(Cl)Br(Cl)(Cl)Cl,"This molecule contains bromine, chlorine, fluorine, and carbon functional groups, in which bromine may be the most influential for mutagenicity.",30,181
[H]Br1=Br(Cl)Br(Cl)=Br(Cl)F=Br1Cl,"This molecule contains alkyl halide, halogen, and alkene functional groups, in which alkyl halide may be the most influential for mutagenicity.",33,130
ClF1Br2=Br(Br(Cl)=Br(CBr(Cl)(Cl)Br(Cl)(Cl)Cl)Br(Cl)=Br2Cl)Br(Br(Cl)(Cl)Cl)=Br(Cl)Br1(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains Br, Cl, and F functional groups, in which Br may be the most influential for mutagenicity.",25,170
ClBr(Cl)(Cl)Br(Cl)(I)I,"This molecule contains alkyl halide, halogen, and alkyl iodide functional groups, in which alkyl halide may be the most influential for mutagenicity.",35,122
C=Br(F(Cl)Br(Cl)(Cl)Br(Cl)(Cl)CCl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)Cl,"This molecule contains alkyl halide, alkene, and halogen functional groups, in which alkyl halide may be the most influential for mutagenicity.",33,185
C=Br1F2Br3(Cl)F(Br(Cl)(Cl)Cl)Br4=Br(Br(Cl)=Br([CaH])Br(CBr(Cl)(Cl)Cl)=Br4CBr(Cl)(Cl)Cl)Br3(CCl)Br(Cl)(CCl)Br23[K][K]Br1(Br(Cl)(Cl)Cl)F(Br(Cl)(Cl)Cl)Br3=C,"This molecule contains alkyl halide, alkene, halogen, and carbonyl functional groups, in which alkyl halide may be the most influential for mutagenicity.",37,200
C=F(C)Br1=Br(Cl)Br(Br(=C)F(Cl)Br2=Br(Cl)Br(Cl)=Br(Cl)Br(Br(Cl)(Cl)Cl)=Br2Cl)=Br(Cl)[K]1,"This molecule contains alkene, alkyl halide, halogen, and aromatic functional groups, in which alkyl halide may be the most influential for mutagenicity.",35,161
C=[Li](CBr(Cl)(Cl)Cl)(CBr(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains alkene, alkyl halide, and halogen functional groups, in which alkene may be the most influential for mutagenicity.",31,136
C=Br(Cl)F(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains bromine, chlorine, and fluorine functional groups, in which bromine may be the most influential for mutagenicity.",28,130
ClBr1=Br(Cl)Br2=Br(Br(Cl)=Br1Cl)Br1=Br(Br(Cl)(Cl)Br(Cl)(Cl)Cl)Br3=Br(Br(Cl)=Br(Cl)Br(Cl)=Br3Cl)Br(Br(Cl)(Cl)Br(Cl)(Cl)Cl)=Br1Br(Cl)=Br2Cl,"This molecule contains Br, Cl, and = functional groups, in which Br may be the most influential for mutagenicity.",25,186
ClF(Br1=Br2Br(=FBr3=Br(Cl)Br([CaH])=Br(Cl)Br(Cl)=Br31)Br(Cl)=Br(Cl)Br(CBr(Cl)(Cl)Cl)=Br2Cl)Br(Cl)(Cl)Br(Cl)(Cl)Br(Cl)(Cl)F(Br(Cl)(Cl)Br(Cl)(Cl)Cl)Br(Cl)(Cl)Br(Cl)(Cl)[CaH].Cl[CaH].Cl[CaH],"This molecule contains alkyl halide, alkene, amine, and carboxylic acid functional groups, in which alkyl halide may be the most influential for mutagenicity.",39,214
C=FF1Br(Cl)(Cl)Br(Cl)(Cl)[K]Br1(Cl)Br(Cl)(Cl)CCl,"This molecule contains alkyl, alkyl halide, fluoro, and halo functional groups, in which alkyl halide may be the most influential for mutagenicity.",35,137
C=Br(Cl)F(CCl)Br1=Br(Cl)Br(Cl)=Br(Br(Cl)=Br(Cl)Br2=Br(Cl)Br(Cl)=Br(Cl)Br(Cl)=Br2Cl)Br(Cl)=Br1Cl,"This molecule contains bromine, chlorine, fluorine, and carbon functional groups, in which bromine may be the most influential for mutagenicity.",30,161
C=Br([CaH])Br1=Br(Cl)Br([CaH])=Br(Cl)Br(Cl)=Br1Cl,"This molecule contains alkyl halide, alkene, and halogen functional groups, in which alkyl halide may be the most influential for mutagenicity.",33,138
C=Br1Br(Cl)=Br(Cl)Br2=Br3Br1=Br(Cl)Br(Cl)=Br1Br(Cl)=Br(Cl)Br(=C)Br(=Br13)Br(Cl)=Br2Cl,"This molecule contains bromo, chloro, double bond, and triple bond functional groups, in which bromo may be the most influential for mutagenicity.",32,159
ClF(Cl)Br(Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains halogen, alkyl, and alkyl functional groups, in which halogen may be the most influential for mutagenicity.",29,130
C=Br(CBr(Cl)(Cl)Cl)F(Cl)Br1=Br(Cl)Br(CBr(=C)F(Cl)Br2=Br(Cl)Br(Br(Cl)(Cl)Cl)=Br(Cl)Br(Cl)=Br2Cl)=Br(Cl)Br(Cl)=Br1Cl,"This molecule contains alkene, alkyl halide, halogen, and bromoalkane functional groups, in which alkyl halide may be the most influential for mutagenicity.",38,174
ClF1Br2=Br(Br(Cl)=Br(Cl)Br(Cl)=Br2Br(Cl)(Cl)Br(Cl)(Cl)Cl)Br2=Br1Br(Br(Cl)(Cl)Cl)(Br(Cl)(Cl)Br(Cl)(Cl)Cl)CBr(Cl)(Cl)Br2(Cl)Cl,"This molecule contains Br, Cl, and C functional groups, in which Br may be the most influential for mutagenicity.",25,178
C=F(C)Br1=Br(Cl)Br2=Br(F=Br3Br(=F2)Br(Cl)=Br(Cl)Br(Cl)=Br3Cl)Br(Cl)=Br1Cl,"This molecule contains alkyl halide, alkene, alkyne, and halogen functional groups, in which alkyl halide may be the most influential for mutagenicity.",37,153
ClCF(Cl)Br1=Br(Cl)Br(Cl)=Br(CBr(Cl)(Cl)Br(Cl)(Cl)Cl)Br(Cl)=Br1Cl,"This molecule contains alkyl halide, alkene, alkane, and halogen functional groups, in which alkyl halide may be the most influential for mutagenicity.",36,143
[H]Br1=Br(Cl)Br(Cl)=Br(Br(Cl)(Cl)F(F=C)Br(Cl)(Cl)Cl)Br(Cl)=Br1Cl,"This molecule contains alkyl halide, alkene, bromo, and chloro functional groups, in which alkyl halide may be the most influential for mutagenicity.",36,146
ClF(Cl)Br1=FBr2=Br(F1Br(Cl)(Cl)Cl)Br(Br(Cl)(Cl)Cl)=Br(Cl)Br1=Br2F=Br(Br(Cl)(Cl)Cl)Br(Br(Cl)(Cl)Cl)=F1,"This molecule contains Br, Cl, F, and Br(Cl) functional groups, in which Br(Cl) may be the most influential for mutagenicity.",31,169
ClCBr(Cl)(Cl)Br(Cl)(Cl)F(Br(Cl)(Cl)Br(Cl)(Cl)CCl)Br(Br(Cl)(Cl)Cl)(Br(Cl)(Cl)Cl)Br(Cl)(Cl)Cl,"This molecule contains alkyl halide, alkyl bromide, alkyl chloride, and fluoroalkane functional groups, in which alkyl halide may be the most influential for mutagenicity.",41,159
