[H]C1=C([H])C(C(=O)C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])(C(=O)C3=C([H])C([H])=C(F)C([H])=C3[H])C([H])([H])C2([H])[H])=C([H])C([H])=C1F,"This molecule contains aldehyde, amine, carboxylic acid, and fluorobenzene functional groups, in which carboxylic acid may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",57,238
[H]OC([H])(C([H])([H])OC1=C([H])C(Cl)=C([H])C([H])=C1C#N)C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C1=C([H])C([H])=C(C2=NN([H])C(=O)C([H])([H])C2([H])C([H])([H])[H])C([H])=C1[H],"This molecule contains amine, cyano, ether, and phenyl functional groups, in which phenyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",48,260
O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F.[H]C1=C([H])N(C([H])([H])[H])=C([H])N1C([H])([H])C([H])([H])C([H])([H])[H],"This molecule contains amine, nitro, sulfone, and thioether functional groups, in which sulfone may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",50,203
[H]OC1=C([H])C([H])=C(C(=O)C2=C([H])C([H])=C([H])C([H])=C2[H])C(O[H])=C1[H],"This molecule contains alcohol, aldehyde, alkene, and aromatic functional groups, in which alkene may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",47,180
[H]C1=C(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C([H])(N([H])[H])C([H])(N([H])C(=O)C([H])([H])[H])C1([H])OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],"This molecule contains carbonyl, ester, primary amine, and alkene functional groups, in which carbonyl may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",52,234
[H]C1=C([H])C(C([H])([H])OC(=O)C([H])([H])C([H])([H])[H])=C([H])C([H])=C1OC([H])([H])[H],"This molecule contains alkene, carboxylic acid ester, ether, and hydroxyl functional groups, in which carboxylic acid ester may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",59,186
[H]C1=C([H])C(S(=O)(=O)O)=C([H])C([H])=C1C([H])(C([H])([H])[H])C([H])([H])[H],"This molecule contains alkene, alkyl, carboxylic acid, and sulfoxide functional groups, in which carboxylic acid may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",56,180
[H]OC(=O)C([H])([H])C([H])([H])C(=O)OC([H])([H])C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)N(C2=C([H])C([H])=C([H])C([H])=C2[H])N(C2=C([H])C([H])=C([H])C([H])=C2[H])C1=O,"This molecule contains carbonyl, ester, amine, and alkene functional groups, in which ester may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",50,252
[H]C1=C(Cl)C([H])=C(N([H])[H])C(C([H])([H])[H])=C1[H],"This molecule contains alkene, alkyl, amine, and chloro functional groups, in which alkene may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,162
[H]C([H])([H])C1(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H].[H]C([H])([H])OS(=O)(=O)O.[H]C([H])([H])OS(=O)(=O)O,"This molecule contains alkane, amine, ether, and sulfonic acid functional groups, in which alkane may be the most influential for toxicity testing on peroxisome proliferator-activated receptor gamma (NR-PPAR-gamma).",49,288
