Start Experiment 02/07/2024 19:29:33

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:30:12
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:43:01
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:02
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 2800.761294356236
Experiment 1, 0.0, -1, 100.0, 2487.8933149780605
Experiment 2, 0.0, -1, 100.0, 2373.528342852747
Experiment 3, 0.0, -1, 100.0, 2497.768022202209
Experiment 4, 0.0, -1, 100.0, 2439.0008171595805
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 2519.7903583097664 ± 147.21861206286056
End Experiment
