original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
N=C1NN2C=NN=C2S1,True,N=C1NN2C=NN=C2S1,False,427
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1738
O=C1NC(O)=C2SSCC2=N1,True,O=C1NC(O)=C2SSCC2=N1,False,1292
C1C2C3C4C1OC2OC34,True,C1C2C3C4C1OC2OC34,False,657
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1561
CN1C2CCC1CC(O)C2,True,CN1C2CCC1CC(O)C2,False,1539
CN1C(=O)CSC1=O,True,CN1C(=O)CSC1=O,False,1390
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,459
N1(C2SCC(N)C(=O)O)CSCC2C1,True,N1(C2SCC(N)C(=O)O)CSCC2C1,False,136
C=CCCCC1(C)CCNC1=S,True,C=CCCCC1(C)CCNC1=S,False,674
N#CCC1=CC=CC=C1C(=O)O,True,N#CCC1=CC=CC=C1C(=O)O,False,1176
N1PCl2C1C1C#B1C24,True,N1PCl2C1C1C#B1C24,False,253
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,34
C1C2C3C4N1C2N3O4,True,C1C2C3C4N1C2N3O4,False,255
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1087
C#CCNCC(=O)O,True,C#CCNCC(=O)O,False,311
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1853
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1905
N=C1NN=C[Se]1,True,N=C1NN=C[Se]1,False,1351
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1797
N#CC1=C(N)OC(C2CC2)=N1,True,N#CC1=C(N)OC(C2CC2)=N1,False,21
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,949
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,654
BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1787
BrN1([Hg])SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,BrN1([Hg])SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,739
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,572
C1N(Cl)SC2=O[Te]34#C1#C1(#C#3#B1)C24,True,C1N(Cl)SC2=O[Te]34#C1#C1(#C#3#B1)C24,False,1566
CSC1=NC(C)=C2CCSC2=N1,True,CSC1=NC(C)=C2CCSC2=N1,False,431
CC1=NC2=NN=CN2C(O)=C1,True,CC1=NC2=NN=CN2C(O)=C1,False,782
CC1(C)NNC(=S)NC1=O,True,CC1(C)NNC(=S)NC1=O,False,1931
CN1N=CC(=O)NC1=S,True,CN1N=CC(=O)NC1=S,False,1639
CCOCNC=O,True,CCOCNC=O,False,529
N#CC(C#N)=C(C#N)C#N,True,N#CC(C#N)=C(C#N)C#N,False,1791
N1PCl2=O[Te]34C1C1C#3#B1C24,True,N1PCl2=O[Te]34C1C1C#3#B1C24,False,152
BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1745
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,198
C1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,C1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1313
C1C2C3C4C1C2C3C4,True,C1C2C3C4C1C2C3C4,False,909
C1C2C3C4C1C2C3C4,True,C1C2C3C4C1C2C3C4,False,725
N=C(N)NC1=NN=NN1,True,N=C(N)NC1=NN=NN1,False,1851
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1604
CN(N)C1=C(Cl)C(O)=NN=C1,True,CN(N)C1=C(Cl)C(O)=NN=C1,False,1475
N1(Cl)P(Cl)2O[Te]34C1C1C#3C24,True,N1(Cl)P(Cl)2O[Te]34C1C1C#3C24,False,750
[Hg]N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,[Hg]N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,265
[Hg]N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,[Hg]N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,951
C1N2SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,C1N2SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,244
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,323
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,55
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1937
ClC1=CC=CC=C1[Hg]N1PCl2=O[Te]34=CC1=CC=CC=C1C2C4,True,ClC1=CC=CC=C1[Hg]N1PCl2=O[Te]34=CC1=CC=CC=C1C2C4,False,597
CC1=NN=C2SC=NN12,True,CC1=NN=C2SC=NN12,False,558
CC(N)S(=O)(=O)O,True,CC(N)S(=O)(=O)O,False,803
C1SC(Cl)N([Hg])=C1C1=CC=CC=C1,True,C1SC(Cl)N([Hg])=C1C1=CC=CC=C1,False,1216
C1N(Cl)PCl2O[Te]34C1C1C#3B1C24,True,C1N(Cl)PCl2O[Te]34C1C1C#3B1C24,False,530
BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,BrN1([Hg])PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,254
CNC(=S)C1=C(N)SN=N1,True,CNC(=S)C1=C(N)SN=N1,False,617
N#CC=CC1=CC=CC(Br)=C1,True,N#CC=CC1=CC=CC(Br)=C1,False,102
CS(=O)(=O)SC1=CC=C(Cl)C=C1,True,CS(=O)(=O)SC1=CC=C(Cl)C=C1,False,842
CC1=NNC2=C1NC(=O)OC2,True,CC1=NNC2=C1NC(=O)OC2,False,971
CN1C(=O)C2=CC=CC=C2C1=O,True,CN1C(=O)C2=CC=CC=C2C1=O,False,1600
CN(CCC#N)C1=CCCC1,True,CN(CCC#N)C1=CCCC1,False,278
C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,True,C1=CC(Cl)=C(Cl)C(Cl)=C1Cl,False,403
C1=NC(C(=O)O)=C(N)C=N1,True,C1=NC(C(=O)O)=C(N)C=N1,False,505
N#CC1=C(N)SC(N)=C1C#N,True,N#CC1=C(N)SC(N)=C1C#N,False,81
NCCS(Cl)(=O)C1C2C1C2,True,NCCS(Cl)(=O)C1C2C1C2,False,448
C[Si](C)(C)C=CCCNC=O,True,C[Si](C)(C)C=CCCNC=O,False,1048
[Hg]N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,[Hg]N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1569
C1=CC=C(CS)SC=C1,True,C1=CC=C(CS)SC=C1,False,1688
N=C1NC(=O)CS1,True,N=C1NC(=O)CS1,False,1981
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,223
C1=CC=NC(=O)N1CC,True,C1=CC=NC(=O)N1CC,False,307
C1C2C3C4C1C1C2C3C4,True,C1C2C3C4C1C1C2C3C4,False,996
BrN1([Hg])SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,BrN1([Hg])SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1987
CN(C)C1(C(=O)O)CC1.Cl,True,CN(C)C1(C(=O)O)CC1.Cl,False,487
C1=CC2=C(C=C1)C(=O)C=C2O,True,C1=CC2=C(C=C1)C(=O)C=C2O,False,1616
C1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,C1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1578
C1=CN=NC=C1,True,C1=CN=NC=C1,False,1482
CN1C(=O)C(Br)SC1=S,True,CN1C(=O)C(Br)SC1=S,False,379
CC1=NC=C2C=N(O)C=CN21,True,CC1=NC=C2C=N(O)C=CN21,False,1135
CN1C=NC2=C1C=CC=C2,True,CN1C=NC2=C1C=CC=C2,False,710
N1PCl2C1C1C2C24,True,N1PCl2C1C1C2C24,False,1952
CN1CCCNC(=S)C1,True,CN1CCCNC(=S)C1,False,1724
CC(N)=CC1=NC(=O)C=CS1,True,CC(N)=CC1=NC(=O)C=CS1,False,904
CN1(C)CC(O)CC1C(=O)O,True,CN1(C)CC(O)CC1C(=O)O,False,1846
C1N(Cl)SC2=O[Te]34C1C1C#3#B1C24,True,C1N(Cl)SC2=O[Te]34C1C1C#3#B1C24,False,1348
CC1(Cl)C(=O)NC(=O)NC1O,True,CC1(Cl)C(=O)NC(=O)NC1O,False,1
C1=CC(=O)OC(C)=C1C(=O)O,True,C1=CC(=O)OC(C)=C1C(=O)O,False,1309
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1358
C1N(Cl)PCl2O[Te]34C1C1C#3#B1C24,True,C1N(Cl)PCl2O[Te]34C1C1C#3#B1C24,False,1033
BrN1[Hg]SCl2O[Te]34C1C1(C3B1)C24,True,BrN1[Hg]SCl2O[Te]34C1C1(C3B1)C24,False,314
CCOC(=S)SCCSC,True,CCOC(=S)SCCSC,False,1249
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1503
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,920
CN1PCl2=O[Te]34C1C1C#3#B1C24,True,CN1PCl2=O[Te]34C1C1C#3#B1C24,False,1996
N#C1CCCC2=NON=C12,True,N#C1CCCC2=NON=C12,False,1365
N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1SCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,768
N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,True,N1PCl2#O[Te]34#C1#C1(#C#3#B1)C24,False,1461
