original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
[BiH3],True,[BiH3],False,92
[GeH3][BiH2],True,[GeH3][BiH2],False,1747
[GaH2][Ru],True,[GaH2][Ru],False,243
[Zn][W],True,[Zn][W],False,972
[MgH][TlH2],True,[MgH][TlH2],False,311
[BiH3],True,[BiH3],False,295
[K][TlH2],True,[K][TlH2],False,296
[Pd][W],True,[Pd][W],False,593
[Hg][BiH2],True,[Hg][BiH2],False,926
[Pd][Li][Hg],True,[Pd][Li][Hg],False,564
[BiH3],True,[BiH3],False,1892
[BiH3],True,[BiH3],False,1174
[BiH3],True,[BiH3],False,267
[MgH][Rh],True,[MgH][Rh],False,888
[MgH][TlH2],True,[MgH][TlH2],False,1234
[TlH2][PbH],True,[TlH2][PbH],False,1330
[Au][BiH2],True,[Au][BiH2],False,1137
[BiH3],True,[BiH3],False,1235
[MgH][Ru],True,[MgH][Ru],False,260
[MgH][Au],True,[MgH][Au],False,394
[BiH3],True,[BiH3],False,168
[Ni][K][TlH][Cu],True,[Ni][K][TlH][Cu],False,626
[BiH3],True,[BiH3],False,1887
[BiH3],True,[BiH3],False,1351
[Zn][Sn][Hg],True,[Zn][Sn][Hg],False,148
[GeH3][PbH],True,[GeH3][PbH],False,514
[Tb][PbH],True,[Tb][PbH],False,1654
[GaH2][SbH2],True,[GaH2][SbH2],False,1600
[Ni][Ni],True,[Ni][Ni],False,530
[GaH2][PbH],True,[GaH2][PbH],False,916
[BiH3],True,[BiH3],False,874
[Rh][Hg],True,[Rh][Hg],False,1945
[Hg][TlH2],True,[Hg][TlH2],False,656
[AsH3],True,[AsH3],False,1037
[MgH][GeH3],True,[MgH][GeH3],False,1410
[GeH3][Ru],True,[GeH3][Ru],False,1211
[GaH2][Hg],True,[GaH2][Hg],False,1208
[Rh][TlH2],True,[Rh][TlH2],False,1596
[MgH][TlH][Zn],True,[MgH][TlH][Zn],False,1845
[BiH3],True,[BiH3],False,441
[BiH3],True,[BiH3],False,1214
