original_cfs,true_cf,improved_cfs,feasible_cf
CCO.C#CCN#C#C#S#C#C12#CC1#C2.[H]#BC#Br(#P)[Na]BrO#C12BrC13(C)B#S#C3[Na]#[Na]2Cl1#C(#FN)#C1,True,CCO.C#CCN#C#C#S#C#C12#CC1#C2.[H]#BC#Br(#P)[Na]BrO#C12BrC13(C)B#S#C3[Na]#[Na]2Cl1#C(#FN)#C1,False
CO.C#CC#N#C#C#S#C#C1C2CC1C2.[H]#BC#Br.[Na]BrO#C1BrC2(C)B1#S#C2[Na]#[Na]1ClC(#FN)C1,True,CO.C#CC#N#C#C#S#C#C1C2CC1C2.[H]#BC#Br.[Na]BrO#C1BrC2(C)B1#S#C2[Na]#[Na]1ClC(#FN)C1,False
COCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N3C(=O)C(NC3(C)C)c4ccccc4)C2=O,True,COCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N3C(=O)C(NC3(C)C)c4ccccc4)C2=O,False
CO.I#C#CN#C#C#S#C#C12#CC1#C2.[H]#BCBr(#P)[Na]BrO#C12BrC13(C)B1#S#C13[Na]#[Na]2Cl1#C(#FN)#C1,True,CO.I#C#CN#C#C#S#C#C12#CC1#C2.[H]#BCBr(#P)[Na]BrO#C12BrC13(C)B1#S#C13[Na]#[Na]2Cl1#C(#FN)#C1,False
CCO.CN1C=C(C2=CC=CC=C2)C=C2C=CC=CC2C1,True,CCO.CN1C=C(C2=CC=CC=C2)C=C2C=CC=CC2C1,True
CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3nnnn3C,True,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3nnnn3C,False
CO.C#CC#C#C#S#C#C12#CC1#C2.C=O[H],True,CO.C#CC#C#C#S#C#C12#CC1#C2.C=O[H],False
CC(Oc1ccccc1)C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O,True,CC(Oc1ccccc1)C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O,False
CC1=CC(=C2CSC(=NC(=O)C3=NC=CN3)N2C2CC2)C(=O)OC1,True,CC1=CC(=C2CSC(=NC(=O)C3=NC=CN3)N2C2CC2)C(=O)OC1,False
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)c5n6ccc(C)cc6nc5c4c3C2=O,True,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)c5n6ccc(C)cc6nc5c4c3C2=O,False
COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,True,COc1ccc2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@@H]3CCc2c1,True
CC(C)NCC(O)COc1cccc2ccccc12,True,CC(C)NCC(O)COc1cccc2ccccc12,False
CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)C3=CNc4cccnc4C3=O)c5ccccc5)C(=O)N2[C@H]1C(O)=O,True,CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)C3=CNc4cccnc4C3=O)c5ccccc5)C(=O)N2[C@H]1C(O)=O,False
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,True,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(N)=O)NC(=O)c4ccc5ccccc5n4,True
