Start Experiment 02/07/2024 19:29:34

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:30:13
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:43:02
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:44:09
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:07:03
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:32:58
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:02
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:21
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:53
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:59
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 4.411764705882353, 37.34390385945638, 100.0, 606.3978551348098
Experiment 0, 5.147058823529411, 40.62688173566546, 100.0, 701.4542881351927
Experiment 0, 5.88235294117647, 39.24512839317322, 100.0, 598.698624308864
Experiment 1, 7.352941176470589, 34.74881591796875, 100.0, 686.2854766201805
Experiment 1, 13.970588235294118, 37.26924886201557, 100.0, 914.4919471324747
Experiment 1, 12.5, 36.14510844735538, 100.0, 648.7451534895771
Experiment 2, 4.411764705882353, 37.85219009717306, 100.0, 746.0384485673038
Experiment 2, 5.88235294117647, 36.72086447477341, 100.0, 837.6048377663037
Experiment 2, 4.411764705882353, 38.360345443089805, 100.0, 635.098998804232
Experiment 3, 3.6764705882352944, 32.19094228744507, 100.0, 608.7612105189555
Experiment 3, 2.941176470588235, 36.97032678127289, 100.0, 631.2853456943394
Experiment 3, 8.088235294117647, 36.607303164222024, 100.0, 617.9243425374337
Experiment 4, 12.5, 39.60299789204317, 100.0, 927.7376696671234
Summary,7.941176470588235 ± 3.8740999624469095,                 37.73688519772361 ± 1.4078946880238719,                 100.0 ± 0.0,                 728.8143261852416 ± 129.81443857955495
End Experiment
Experiment 4, 13.970588235294118, 40.138543229354056, 100.0, 892.3150755583985
Summary,6.764705882352942 ± 3.8178691134550498,                 36.45487907827946 ± 2.7351063301517446,                 100.0 ± 0.0,                 707.9596132799296 ± 105.88844714750769
End Experiment
Experiment 4, 3.6764705882352944, 33.74079122543335, 100.0, 884.8992550144651
Summary,7.058823529411765 ± 3.766543669078146,                 37.320914086085246 ± 2.251178766181763,                 100.0 ± 0.0,                 750.7737663247597 ± 125.10421384884187
End Experiment
