original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#CN(C)C#C#NBr1#CC23O4#C#C#C15#C1(#C25#F31)O#41#C2#O#134#O21N3#C14#C,True,C#CN(C)C#C#NBr1#CC23O4#C#C#C15#C1(#C25#F31)O#41#C2#O#134#O21N3#C14#C,False,830
C#CN(C)C#C#S#NC1#CO23O4#C#O#C15#Cl1(C52#F31)O#41#C2#O=134#C21N3#C14#C,True,C#CN(C)C#C#S#NC1#CO23O4#C#O#C15#Cl1(C52#F31)O#41#C2#O=134#C21N3#C14#C,False,1554
C#CC#N#O#CC12#C3C4O5#N346#N53#C16#C#C2#C#C31#C23#C145#C21C#4(#C)#O135,True,C#CC#N#O#CC12#C3C4O5#N346#N53#C16#C#C2#C#C31#C23#C145#C21C#4(#C)#O135,False,1936
C#CN(C)C#C#S#NC1#CC23C4#C#C#C15#C1(C25#F31)C#41#C2#C134#C21O3#C14#C,True,C#CN(C)C#C#S#NC1#CC23C4#C#C#C15#C1(C25#F31)C#41#C2#C134#C21O3#C14#C,False,332
CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(NC(=O)C3CC(=O)CCN3C(=O)C(Cc4ccc(cc4)N(C)C)N(C)C(=O)C5CCCN5C1=O)c6ccccc6,True,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(NC(=O)C3CC(=O)CCN3C(=O)C(Cc4ccc(cc4)N(C)C)N(C)C(=O)C5CCCN5C1=O)c6ccccc6,False,288
C#CC#N#O#CC12#C3C45C6#C1#C#C21#N2(#N341#O52)C#61#C23#C145#C21C#4(#C)#O135,True,C#CC#N#O#CC12#C3C45C6#C1#C#C21#N2(#N341#O52)C#61#C23#C145#C21C#4(#C)#O135,False,1411
C#CN(=O)C#C#S#NC1#CO23O4#C#O#C15#Cl1(#C52#F31)C#41#C2#O=134#C21N3#C14#C,True,C#CN(=O)C#C#S#NC1#CO23O4#C#O#C15#Cl1(#C52#F31)C#41#C2#O=134#C21N3#C14#C,False,313
C#CN(#O)#C#C#NC1#CC23O4#C#C#C15#Cl1(#C25#F31)C#41#C2#O#134#C21O3#C14#C,True,C#CN(#O)#C#C#NC1#CC23O4#C#C#C15#Cl1(#C25#F31)C#41#C2#O#134#C21O3#C14#C,False,285
C#CN(C)C#C#NC1#CC23O4#C#O#C15#C1(#C25#F31)O#41#C2#O#134#C21N3#C14#C,True,C#CN(C)C#C#NC1#CC23O4#C#O#C15#C1(#C25#F31)O#41#C2#O#134#C21N3#C14#C,False,1786
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,True,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,False,283
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,True,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,False,168
CC(C)NCC(O)COc1cccc2[nH]ccc12,True,CC(C)NCC(O)COc1cccc2[nH]ccc12,True,136
CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O,True,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2O,False,468
