original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#C#N1O2C3(#C#C)#C#CN#C(#N3#C)Cl12#NN1#F#I#[SH]2O#N1C21O2F1N213#NFF1F(Cl)#F31I2#B13[Tc]#[BiH]#[Ca]([Ti](F)#[SH])#Cl23.F#[SH],True,C#C#N1O2C3(#C#C)#C#CN#C(#N3#C)Cl12#NN1#F#I#[SH]2O#N1C21O2F1N213#NFF1F(Cl)#F31I2#B13[Tc]#[BiH]#[Ca]([Ti](F)#[SH])#Cl23.F#[SH],False,"tensor(14, dtype=torch.int32)"
C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],True,C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],False,"tensor(212, dtype=torch.int32)"
C#CC1#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#Br([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],True,C#CC1#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#Br([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],False,"tensor(240, dtype=torch.int32)"
CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,True,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,False,"tensor(68, dtype=torch.int32)"
C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],True,C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],False,"tensor(74, dtype=torch.int32)"
CCCC[NH+](CCCC)CCC(c1cc2c(cc(cc2Cl)Cl)c3c1ccc(c3)C(F)(F)F)O,True,CCCC[NH+](CCCC)CCC(c1cc2c(cc(cc2Cl)Cl)c3c1ccc(c3)C(F)(F)F)O,False,"tensor(200, dtype=torch.int32)"
C#C#N1O2C3(#C#C)#C#C[PH]#C(#N3#C)Cl12#NN1#F#I#[SH]2O#N1C21O2F1N213#NFF1F(Cl)#F31I2#B13[Tc]#[BiH]#[Ca]([Ti](F)#[SH])#Cl23.F#[SH],True,C#C#N1O2C3(#C#C)#C#C[PH]#C(#N3#C)Cl12#NN1#F#I#[SH]2O#N1C21O2F1N213#NFF1F(Cl)#F31I2#B13[Tc]#[BiH]#[Ca]([Ti](F)#[SH])#Cl23.F#[SH],False,"tensor(16, dtype=torch.int32)"
C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],True,C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],False,"tensor(28, dtype=torch.int32)"
C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],True,C#C#C12#C#C[PH]#C(#N1#C)Cl1(#NN3#F#I#[SH]4O#N3C43O4F3N435#NFF3F(Cl)#F53I4#B35[Tc]#[BiH]#[Ca]([Ti]#[SH])#Cl45)N(#N#C)O21.F#[SH],False,"tensor(458, dtype=torch.int32)"
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,True,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,False,"tensor(67, dtype=torch.int32)"
