original_cfs,true_cf,improved_cfs,feasible_cf
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,True,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,False
C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],True,C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],False
C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],True,C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],False
C#C1#C2#P3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],True,C#C1#C2#P3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],False
CC1=CC2=C3C4=C5O6N7N=C1[Au]3C1=C3[H]C4=C5[H][Al]8C9(C1=O)C1C2=C3C4=C5[C@@H]1[C@H]1[C@H]2[C@@H]3[C@H]4[C@H]5[C@H]6[C@H]7[C@H]8[C@H]9O1C2C3C71.NCl1Cl.O1O.[AlH3],True,CC1=CC2=C3C4=C5O6N7N=C1[Au]3C1=C3[H]C4=C5[H][Al]8C9(C1=O)C1C2=C3C4=C5[C@@H]1[C@H]1[C@H]2[C@@H]3[C@H]4[C@H]5[C@H]6[C@H]7[C@H]8[C@H]9O1C2C3C71.NCl1Cl.O1O.[AlH3],False
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,False
C#CC1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],True,C#CC1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],False
C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],True,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2],False
C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],True,C#C1#C2#C3#C45O67#CNN1[Au]34C13#F#C4#[H]#[Al]489(#O)CC184#[Ca]51(#[Cr][H]#N1C4F#F)O369F#O1C2#C#71.NCl#Cl.O#O.[AlH3],False
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(c(c2=O)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F)C,True,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(c(c2=O)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F)C,False
