Start Experiment 02/06/2024 16:01:10

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:01:26
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:05:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:05:49
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1567.428036583775
Experiment 0, 0.0, -1, 100.0, 1569.8512775964466
Experiment 0, 8.333333333333332, 67.21980834007263, 100.0, 1571.6009407538133
Start Experiment 02/06/2024 17:40:41
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1517.1069932849175
Experiment 1, 0.0, -1, 100.0, 1586.395731502151
Experiment 1, 0.0, -1, 100.0, 1577.0591669151106
Experiment 0, 0.0, -1, 100.0, 1735.9164339832496
Experiment 1, 0.0, -1, 100.0, 1582.414598195551
