Start Experiment 02/07/2024 20:07:01

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1554.7337491917142
Start Experiment 02/07/2024 21:30:45
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1522.5121812199998
Experiment 1, 0.0, -1, 100.0, 1547.862299777659
Experiment 2, 0.0, -1, 100.0, 1530.4917213971883
Experiment 3, 4.166666666666666, 85.39635896682739, 100.0, 1428.7569938278948
Experiment 4, 0.0, -1, 100.0, 1516.2162017528924
Summary,0.8333333333333333 ± 1.6666666666666667,                 16.279271793365478 ± 34.558543586730956,                 100.0 ± 0.0,                 1509.167879595127 ± 41.582746815062066
End Experiment
