original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,171
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,39
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,15
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,5
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,70
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,73
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,35
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,62
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,102
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,333
CCC1=CC2C[C@@](c3c(c4ccccc4[nH]3)C[NH+](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[NH+]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC,True,CCC1=CC2C[C@@](c3c(c4ccccc4[nH]3)C[NH+](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[NH+]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC,False,156
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,29
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,134
[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],True,[Ti]#[H][Cr](=[Al][AsH2])#[BiH]#[Bi]([Mn]=[Co])[Hg][Al]([Hg])([Hg])#[Hg],False,353
