original_cfs,true_cf,improved_cfs,feasible_cf
Nc1ccc(N=Nc2ccc3cc(S(=O)(=O)O)c(N=Nc4ccc(Nc5ccc(N=Nc6c(S(=O)(=O)O)cc7ccc(N=Nc8ccc(N)cc8N)cc7c6O)cc5S(=O)(=O)O)cc4)c(O)c3c2)c(N)c1,True,Nc1ccc(N=Nc2ccc3cc(S(=O)(=O)O)c(N=Nc4ccc(Nc5ccc(N=Nc6c(S(=O)(=O)O)cc7ccc(N=Nc8ccc(N)cc8N)cc7c6O)cc5S(=O)(=O)O)cc4)c(O)c3c2)c(N)c1,False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
O=CC1C2CCCCC2NCCSCCCCOI1,True,O=CC1C2CCCCC2NCCSCCCCOI1,True
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
O=Cl1C2C([Ca]C#Br)CCCCNCCSCCCCOI21,True,O=Cl1C2C([Ca]C#Br)CCCCNCCSCCCCOI21,False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],True,OC#Cl1C2[Ca]([H][PH]#Br)#CCCC#N#CC#SC#CC#C#OI21.[NaH].[NaH].[NaH],False
