original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C1=CC2=C(C=C1)N=C(N)C=C2N,True,C1=CC2=C(C=C1)N=C(N)C=C2N,False,60
O#N1=NC1#C#O1#C#C#C2[Li]3#O2C3#C#CC#C2C[Li]#P3[Ca](P2)[Na]2#I(#[Na])P1[Na][Li]P1[Ca][PH]213,True,O#N1=NC1#C#O1#C#C#C2[Li]3#O2C3#C#CC#C2C[Li]#P3[Ca](P2)[Na]2#I(#[Na])P1[Na][Li]P1[Ca][PH]213,False,160
CC1=CC=C(C=C1)C1=CC(=O)C=C(C=C1)C1=CC=CC=C1,True,CC1=CC=C(C=C1)C1=CC(=O)C=C(C=C1)C1=CC=CC=C1,False,220
CC1=CN=CN=C1NC1=CC=CC(N)=C1,True,CC1=CN=CN=C1NC1=CC=CC(N)=C1,False,789
C1=NC=NC(=O)N1C(=O)NO,True,C1=NC=NC(=O)N1C(=O)NO,True,529
CCOS(=O)(=O)OCC,True,CCOS(=O)(=O)OCC,False,677
C1=CC=C(C=C1)C2=CC=CC=C2,True,C1=CC=C(C=C1)C2=CC=CC=C2,False,140
[Li]#[K]1#[Ca]2[Ca]3PC4#CC#C#C5C6#O5C6#C#C#C(#C#[SH]5C=N5#O)[Na]1[IH][Na][Li]1[Na][PH]12P3#[PH]F4,True,[Li]#[K]1#[Ca]2[Ca]3PC4#CC#C#C5C6#O5C6#C#C#C(#C#[SH]5C=N5#O)[Na]1[IH][Na][Li]1[Na][PH]12P3#[PH]F4,False,461
O#N1#CC1#C#C1#C#C#C2C3#O2C3#C#CC#C2F[IH]#[Na]3[Ca](=P2)[Ca]2#[K](#[Ca])[Na]1[Na][Na][K]1[Na][PH]312,True,O#N1#CC1#C#C1#C#C#C2C3#O2C3#C#CC#C2F[IH]#[Na]3[Ca](=P2)[Ca]2#[K](#[Ca])[Na]1[Na][Na][K]1[Na][PH]312,False,859
[Li]#[K]1#[K]2[Ca]3=PC4#NC#C#C5O6#P5P6#C#C#O(#C([K]#[Ca])#C5C#N5#O)[Na]1[Na][Na]P1[IH][PH]12P3#[PH]F4,True,[Li]#[K]1#[K]2[Ca]3=PC4#NC#C#C5O6#P5P6#C#C#O(#C([K]#[Ca])#C5C#N5#O)[Na]1[Na][Na]P1[IH][PH]12P3#[PH]F4,False,104
O=N1=NC1CCC1CCC2C3OC3CCC2F,True,O=N1=NC1CCC1CCC2C3OC3CCC2F,False,1003
O=N1=NC1C=O(CCC1[Li]2O1C2C=CCCI)CN=P)P[IH]#I,True,O=N1=NC1C=O(CCC1[Li]2O1C2C=CCCI)CN=P)P[IH]#I,False,212
C1CCC(C#CC2C3C4C5C2C3C4C5)P(I)I1,True,C1CCC(C#CC2C3C4C5C2C3C4C5)P(I)I1,True,739
C1=CC2=C(C=C1)N=Nc1ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c3c1O2,True,C1=CC2=C(C=C1)N=Nc1ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c3c1O2,False,867
