original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=Se=23,True,CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=Se=23,False,1839
CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]23,True,CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]23,False,40
CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]=23,True,CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]=23,False,128
CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,True,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,False,109
CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]=23,True,CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]=23,False,238
CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)SnH(SnH)Na1[Ba]=SH1[Sn]=C6=Se=23,True,CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)SnH(SnH)Na1[Ba]=SH1[Sn]=C6=Se=23,False,503
CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]23,True,CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=SH1[Sn]=C6=[Se]23,False,1000
CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=[SH]1[Sn]=C6=[Se]=23,True,CN1N=[Sn]1C=[Sn]1(C[SnH])C2=Cl3=[AsH]=C4=C5=O46=C(C5=P1=O)[SnH]([SnH])[Na]1[Ba]=[SH]1[Sn]=C6=[Se]=23,False,724
CN1N#[Sn]1C#[Sn]1(C[SnH])C2#Cl3#[AsH]#C4#C5#O46#C(#C5#P1#O)[SnH]([SnH])[Na]1[Ba]#[SH]1[Sn]#C6#[Se]#23,True,CN1N#[Sn]1C#[Sn]1(C[SnH])C2#Cl3#[AsH]#C4#C5#O46#C(#C5#P1#O)[SnH]([SnH])[Na]1[Ba]#[SH]1[Sn]#C6#[Se]#23,False,737
CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)SnH(SnH)[Na]1[Ba]=SH1[Sn]=C6=Se=23,True,CN1N=Sn=1C=Sn1(C[SnH])C2=Cl3=AsH=C4=C5=O46=C(C5=P1=O)SnH(SnH)[Na]1[Ba]=SH1[Sn]=C6=Se=23,False,127
