original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C[Sn]CC=[SnH]C,True,C[Sn]CC=[SnH]C,False,1839
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,40
[SnH]C[SnH],True,[SnH]C[SnH],True,128
[SnH]CC[Sn]C[Sn]C[SnH],True,[SnH]CC[Sn]C[Sn]C[SnH],True,109
[SnH]CC[Sn]C[Sn]C[SnH],True,[SnH]CC[Sn]C[Sn]C[SnH],True,238
CC[Sn]C[Sn]C[Sn]CC[Sn]C,True,CC[Sn]C[Sn]C[Sn]CC[Sn]C,True,503
C[Sn][Sn]C[Sn][Sn][Sn][SnH],True,C[Sn][Sn]C[Sn][Sn][Sn][SnH],True,1000
C[Sn][Sn]C[Sn]C[Sn]C[SnH],True,C[Sn][Sn]C[Sn]C[Sn]C[SnH],False,724
[SnH]C[Sn]C[Sn]C[SnH],True,[SnH]C[Sn]C[Sn]C[SnH],True,737
C=[SnH]CC=[SnH]C[SnH]=C,True,C=[SnH]CC=[SnH]C[SnH]=C,False,127
[SnH]C[SnH],True,[SnH]C[SnH],True,1375
CC[Sn]C,True,CC[Sn]C,True,1268
[SnH]CC[Sn]CC[Sn]C[Sn]C[SnH],True,[SnH]CC[Sn]CC[Sn]C[Sn]C[SnH],True,281
C[Sn]C[SnH]=[SnH]C[Sn]C,True,C[Sn]C[SnH]=[SnH]C[Sn]C,False,1666
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,312
C[Sn]C[Sn][SnH],True,C[Sn]C[Sn][SnH],True,166
[SnH]C[Sn]C[SnH],True,[SnH]C[Sn]C[SnH],True,1002
C[Sn]C[Sn][Sn]C[Sn][SnH],True,C[Sn]C[Sn][Sn]C[Sn][SnH],True,1796
[SnH]C[SnH],True,[SnH]C[SnH],True,1821
C[Sn]C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],False,1003
[SnH]C[SnH],True,[SnH]C[SnH],True,1109
C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],True,C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],True,706
[SnH]C[SnH],True,[SnH]C[SnH],True,1876
[Sn]=C=[SnH]C[Sn]CC[SnH],True,[Sn]=C=[SnH]C[Sn]CC[SnH],True,759
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,1553
CC[Sn]C[Sn]C[Sn]CC[Sn]C,True,CC[Sn]C[Sn]C[Sn]CC[Sn]C,True,425
[SnH]C[SnH],True,[SnH]C[SnH],True,732
[SnH]C[SnH],True,[SnH]C[SnH],True,844
C[Sn]CC[Sn]C[Sn]C,True,C[Sn]CC[Sn]C[Sn]C,True,562
[SnH]C[Sn]C[Sn]C[Sn][SnH],True,[SnH]C[Sn]C[Sn]C[Sn][SnH],True,958
C[Sn]CC[SnH],True,C[Sn]CC[SnH],True,1096
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,1023
[SnH]C[SnH],True,[SnH]C[SnH],True,239
CC[SnH],True,CC[SnH],False,360
CC[Sn]C[Sn]C[SnH],True,CC[Sn]C[Sn]C[SnH],True,1051
C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],True,C[Sn]CC[Sn]C[Sn]C[Sn]C[SnH],True,1042
CC[Sn]C[Sn]C,True,CC[Sn]C[Sn]C,True,730
[SnH]C[Sn]C[Sn]C[Sn][SnH],True,[SnH]C[Sn]C[Sn]C[Sn][SnH],True,104
CC=[SnH]C[Sn]C[Sn]CC[Sn]C,True,CC=[SnH]C[Sn]C[Sn]CC[Sn]C,True,924
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,352
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,757
C[Sn]CC[Sn]C[Sn]C,True,C[Sn]CC[Sn]C[Sn]C,True,1649
