Start Experiment 02/09/2024 00:49:55

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:50:22
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/09/2024 00:50:59
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1080.362034960989
Experiment 1, 0.0, -1, 100.0, 603.4391375451286
Experiment 2, 0.0, -1, 100.0, 583.711479285676
Experiment 3, 0.0, -1, 100.0, 449.54472991911496
Experiment 4, 0.0, -1, 100.0, 758.7919688019532
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 695.1698701025723 ± 216.1434639217146
End Experiment
