original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C1=NN=CC2=NP1OON=C2,True,C1=NN=CC2=NP1OON=C2,False,92
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1747
C1=NS2N3N4CC231P1O=O2C214,True,C1=NS2N3N4CC231P1O=O2C214,False,243
C1=NN=CC2P1O2C14,True,C1=NN=CC2P1O2C14,False,972
C#CCNCC(=O)O,True,C#CCNCC(=O)O,False,311
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,295
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,296
C1#N2N3N4CC231P1O#O2C214,True,C1#N2N3N4CC231P1O#O2C214,False,593
C1#N2N3N14CC231P1O#O2C214,True,C1#N2N3N14CC231P1O#O2C214,False,926
C1=NN=CCP1O=O,True,C1=NN=CCP1O=O,False,564
C1=NN=CC=N1,True,C1=NN=CC=N1,False,1892
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1174
C1=NN=CC2P1O=O2C14,True,C1=NN=CC2P1O=O2C14,False,267
C1=N2N3N4CC231P1O#O2C214,True,C1=N2N3N4CC231P1O#O2C214,False,888
C1=N2N3C(=O)C(=O)N=C3N2N1,True,C1=N2N3C(=O)C(=O)N=C3N2N1,False,1234
C1=N2N3N13CC231P1O#O2C14,True,C1=N2N3N13CC231P1O#O2C14,False,1330
C1#N2N3N4CC231P1O#O2C214,True,C1#N2N3N4CC231P1O#O2C214,False,1137
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1235
C1#N[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#N[SH]2N13N14CC231P1O#O2#[Na]C214,False,260
C1=NN=CC1P=O,True,C1=NN=CC1P=O,False,394
C1=NN=CC1,True,C1=NN=CC1,False,168
C1#N2N3N4CC231P1O#O2#C214,True,C1#N2N3N4CC231P1O#O2#C214,False,626
C1=NN=CC2=CC=NC=C12,True,C1=NN=CC2=CC=NC=C12,False,1887
C1=N2N3=N4CC23P1O2C14,True,C1=N2N3=N4CC23P1O2C14,False,1351
C1=NN=CC1OP=O,True,C1=NN=CC1OP=O,False,148
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,514
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1654
C1#N2N3N4CC231P1O#O2#[Na]C214,True,C1#N2N3N4CC231P1O#O2#[Na]C214,False,1600
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,530
C1=NN=CC2P1O=O2C14,True,C1=NN=CC2P1O=O2C14,False,916
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,874
C1=CN=CC(=NC)S1,True,C1=CN=CC(=NC)S1,False,1945
C1=NN=CC2=CC=CC=C21,True,C1=NN=CC2=CC=CC=C21,False,656
C1=NN2N13C4C2P1O4C13,True,C1=NN2N13C4C2P1O4C13,False,1037
C1#N2N3N4CC231P1O#O2C214,True,C1#N2N3N4CC231P1O#O2C214,False,1410
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1211
C1#[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#[SH]2N13N14CC231P1O#O2#[Na]C214,False,1208
C1#N2N3N4CC231P1O#O2C214,True,C1#N2N3N4CC231P1O#O2C214,False,1596
C1#N[SH]2N13N14CC231P1O#O2#[Na]C214,True,C1#N[SH]2N13N14CC231P1O#O2#[Na]C214,False,1845
C1=NN=CC2=POOP2=CC14,True,C1=NN=CC2=POOP2=CC14,False,441
