original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
[Zn][Zn][SbH2],True,[Zn][Zn][SbH2],False,1768
[Tb][Pd][TlH2],True,[Tb][Pd][TlH2],False,1377
[MgH][Te][GaH2],True,[MgH][Te][GaH2],False,632
[GaH3],True,[GaH3],False,121
[Tb][Au][Tb],True,[Tb][Au][Tb],False,967
[AsH3],True,[AsH3],False,1011
[Rh][Zn][TeH],True,[Rh][Zn][TeH],False,654
[TeH][W],True,[TeH][W],False,1955
[Zn][Hg][Ru],True,[Zn][Hg][Ru],False,1485
[Au][TlH2],True,[Au][TlH2],False,497
[GaH2][TeH],True,[GaH2][TeH],False,1645
[Hg][TlH2],True,[Hg][TlH2],False,1171
[GaH3],True,[GaH3],False,1388
[Rh][Tb],True,[Rh][Tb],False,1928
[GaH2][Pb][Ru],True,[GaH2][Pb][Ru],False,1373
[TeH][Ru][Au],True,[TeH][Ru][Au],False,1849
[TlH2][PbH],True,[TlH2][PbH],False,1916
[GaH2][Pd][Sn][Pd],True,[GaH2][Pd][Sn][Pd],False,1983
[GaH3],True,[GaH3],False,1008
[GaH3],True,[GaH3],False,60
[Au][W][Hg],True,[Au][W][Hg],False,1716
[GeH3][TeH],True,[GeH3][TeH],False,977
[GeH3][GaH][Hg],True,[GeH3][GaH][Hg],False,487
[GeH3][TlH2],True,[GeH3][TlH2],False,1737
[MgH][GeH3],True,[MgH][GeH3],False,129
[Zn][W],True,[Zn][W],False,1364
[GaH3],True,[GaH3],False,1260
[GeH3][TeH],True,[GeH3][TeH],False,226
[GaH2][SnH],True,[GaH2][SnH],False,1712
[MgH][PbH]([MgH])[SbH2],True,[MgH][PbH]([MgH])[SbH2],False,1543
[TeH][Tb],True,[TeH][Tb],False,1065
[AsH3],True,[AsH3],False,509
[Ni][TlH2],True,[Ni][TlH2],False,684
[GeH3][TlH2],True,[GeH3][TlH2],False,1160
[GaH3],True,[GaH3],False,1546
[Ni][SnH],True,[Ni][SnH],False,484
[Zn][TeH],True,[Zn][TeH],False,53
[GaH3],True,[GaH3],False,1208
[Ni][TeH],True,[Ni][TeH],False,1570
[Ni][TeH],True,[Ni][TeH],False,1663
[TlH2][PbH],True,[TlH2][PbH],False,1913
[GeH3][Rh],True,[GeH3][Rh],False,1617
[BiH3],True,[BiH3],False,1412
[Li][SbH2],True,[Li][SbH2],False,254
[Rh][SbH2],True,[Rh][SbH2],False,1426
[GaH3],True,[GaH3],False,913
[SnH][Zn][Hg],True,[SnH][Zn][Hg],False,1684
[SbH2][Au],True,[SbH2][Au],False,724
[AsH3],True,[AsH3],False,1016
[Hg][PbH],True,[Hg][PbH],False,1824
[MgH][Hg],True,[MgH][Hg],False,138
[GaH2][SnH],True,[GaH2][SnH],False,1392
[SbH2][PbH],True,[SbH2][PbH],False,1494
[GaH3],True,[GaH3],False,884
[GeH3][PbH],True,[GeH3][PbH],False,1907
[SnH][Hg],True,[SnH][Hg],False,1112
[SbH2][Te][W][SbH][Ho][PbH],True,[SbH2][Te][W][SbH][Ho][PbH],False,556
[GaH3],True,[GaH3],False,1309
[GaH3],True,[GaH3],False,544
[AsH3],True,[AsH3],False,1853
[GaH3],True,[GaH3],False,591
[SbH2][TlH2],True,[SbH2][TlH2],False,393
[BiH3],True,[BiH3],False,510
[SbH2][Hg],True,[SbH2][Hg],False,1284
[W][TlH2],True,[W][TlH2],False,326
[GaH2][Te][SnH],True,[GaH2][Te][SnH],False,6
[Ru][SnH],True,[Ru][SnH],False,540
CC(N)N,True,CC(N)N,False,1044
[GaH2][W],True,[GaH2][W],False,135
[TeH][PbH],True,[TeH][PbH],False,846
[Rh][TeH],True,[Rh][TeH],False,1926
[MgH][Te][SnH],True,[MgH][Te][SnH],False,1249
[GaH2][TeH]([Au][TeH])[Hg][GeH3],True,[GaH2][TeH]([Au][TeH])[Hg][GeH3],False,1929
[AsH3],True,[AsH3],False,386
[SbH2][TlH2],True,[SbH2][TlH2],False,329
[GaH3],True,[GaH3],False,737
[GaH3],True,[GaH3],False,741
[GeH3][TeH]([Ru])[PbH],True,[GeH3][TeH]([Ru])[PbH],False,451
[MgH][TlH2],True,[MgH][TlH2],False,773
[BiH3],True,[BiH3],False,1529
[GaH2][Zn][TeH],True,[GaH2][Zn][TeH],False,480
[Ho][TlH2],True,[Ho][TlH2],False,636
[GaH2][TeH],True,[GaH2][TeH],False,1142
[TeH][SbH][Tb],True,[TeH][SbH][Tb],False,1383
[Hg][Ru][PbH],True,[Hg][Ru][PbH],False,790
[GaH2][PbH],True,[GaH2][PbH],False,906
[GaH3],True,[GaH3],False,1659
[MgH][TeH],True,[MgH][TeH],False,1081
[W][Hg]([W])[Au],True,[W][Hg]([W])[Au],False,1790
[Ru][TeH],True,[Ru][TeH],False,107
[GeH3][SbH2],True,[GeH3][SbH2],False,524
[AsH3],True,[AsH3],False,1850
[Pd][TeH],True,[Pd][TeH],False,784
[Rh][SnH],True,[Rh][SnH],False,1569
[PbH][PbH],True,[PbH][PbH],False,1052
[TlH2][W][PbH],True,[TlH2][W][PbH],False,592
[BiH3],True,[BiH3],False,1104
[Rh][SbH][Pd],True,[Rh][SbH][Pd],False,1336
[AsH3],True,[AsH3],False,163
[TeH][Hg][Mg][PbH],True,[TeH][Hg][Mg][PbH],False,1813
[GaH3],True,[GaH3],False,19
[GaH3],True,[GaH3],False,637
[GaH3],True,[GaH3],False,1413
[Ru][TlH][Pd][Hg][Tb][TeH],True,[Ru][TlH][Pd][Hg][Tb][TeH],False,1517
[TeH][PbH],True,[TeH][PbH],False,1772
[Zn][TlH][PbH],True,[Zn][TlH][PbH],False,840
[SbH2][PbH],True,[SbH2][PbH],False,28
[GaH3],True,[GaH3],False,872
[GeH3][Rh],True,[GeH3][Rh],False,1379
[GeH3][PbH],True,[GeH3][PbH],False,520
[Li][TlH2],True,[Li][TlH2],False,1376
[Ru][Pd],True,[Ru][Pd],False,878
[TeH][TlH2],True,[TeH][TlH2],False,1276
[Pd][PbH],True,[Pd][PbH],False,493
[GaH3],True,[GaH3],False,1083
[MgH][Ru],True,[MgH][Ru],False,759
[Zn][W],True,[Zn][W],False,1430
[GaH3],True,[GaH3],False,680
[Zn][Zn],True,[Zn][Zn],False,1204
[Zn][SbH2],True,[Zn][SbH2],False,148
[GaH3],True,[GaH3],False,1577
[SbH2][Ho],True,[SbH2][Ho],False,65
[Zn][GaH2],True,[Zn][GaH2],False,255
