original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
B#S1#C2#[PH]#O2O1NN1O2O3C#C4O12C12C=CNCOC5(NFCl(CClC)[Hg]#Cl)OF5#N(#F#O)C41(Cl)#C2#C3,True,B#S1#C2#[PH]#O2O1NN1O2O3C#C4O12C12C=CNCOC5(NFCl(CClC)[Hg]#Cl)OF5#N(#F#O)C41(Cl)#C2#C3,False,67
B#C1#C2#C3#N2O13N[SH]1N2C3#CC(C#C4#C=356ClCl3(C7CC45N73)O3CO(Cl(F)(N#Cl)[AlH]ClN)F#F6#F3#O)O21,True,B#C1#C2#C3#N2O13N[SH]1N2C3#CC(C#C4#C=356ClCl3(C7CC45N73)O3CO(Cl(F)(N#Cl)[AlH]ClN)F#F6#F3#O)O21,False,273
C1CCN(CC1)C(=O)C2=CC3=NON=C3C=C2,True,C1CCN(CC1)C(=O)C2=CC3=NON=C3C=C2,False,20
C#N1#C2#C3#N=2N1NC1C32N3C#C4C12C125F#C6Cl1S61OC67[Hg]O#Cl(OO[Fe])O6F7#C(#F#O)O42(#N5#C3)Cl1,True,C#N1#C2#C3#N=2N1NC1C32N3C#C4C12C125F#C6Cl1S61OC67[Hg]O#Cl(OO[Fe])O6F7#C(#F#O)O42(#N5#C3)Cl1,False,406
B#C1#C2#C3#O2O13N[SH]1N2C3#CC(C#C4#C=356ClN3(NC3CC45)O3CO([Fe](F)CCl=N)F#F6#F3#O)O21,True,B#C1#C2#C3#O2O13N[SH]1N2C3#CC(C#C4#C=356ClN3(NC3CC45)O3CO([Fe](F)CCl=N)F#F6#F3#O)O21,False,466
C#N1#C2#C3#N=2N1NC1C32N3C#N4#O567Cl[SH]89(C%10#F8C45(Cl%109)C124C3#C46)O1F(#O)#C7#F2O3Cl(OO[Fe])#O[Hg]C312,True,C#N1#C2#C3#N=2N1NC1C32N3C#N4#O567Cl[SH]89(C%10#F8C45(Cl%109)C124C3#C46)O1F(#O)#C7#F2O3Cl(OO[Fe])#O[Hg]C312,False,44
O=FC1=C2OC2=O1C1ClO2N3C=O4C5OC5C4N3C1#C2#C3#C4#C5#C6#C7#C8#C9#C%10#C%11#C%12#C%13#C%14#C%15#C%16#C%17#C%18#C%19#C%20#C%21#C%22#C%23#C%24#C%25#C%26#C%27#C%28#C%29#C%30#C%31#C%32#C%33#C%34#C%35#C%36#C%37#C%38#C%39#C%40#C%41#C%42#C%43#C%44#C%45#C%46#C%47#C%48#C%49#C%50#C%51#C%52#C%53#C%54#C%55#C%56#C%57#C%58#C%59#C%60#C%61#C%62#C%63#C%64#C%65#C%66#C%67#C%68#C%69#C%70#C%71#C%72#C%73#C%74#C%75#C%76#C%77#C%78#C%79#C%80#C%81#C%82#C%83#C%84#C%85#C%86#C%87#C%88#C%89#C%90#C%91#C%92#C%93#C%94#C%95#C%96#C%97#C%98#C%99#C%100#C%101#C%102#C%103#C%104#C%105#C%106#C%107#C%108#C%109#C%110#C%111#C%112#C%113#C%114#C%115#C%116#C%117#C%118#C%119#C%120#C%121,True,O=FC1=C2OC2=O1C1ClO2N3C=O4C5OC5C4N3C1#C2#C3#C4#C5#C6#C7#C8#C9#C%10#C%11#C%12#C%13#C%14#C%15#C%16#C%17#C%18#C%19#C%20#C%21#C%22#C%23#C%24#C%25#C%26#C%27#C%28#C%29#C%30#C%31#C%32#C%33#C%34#C%35#C%36#C%37#C%38#C%39#C%40#C%41#C%42#C%43#C%44#C%45#C%46#C%47#C%48#C%49#C%50#C%51#C%52#C%53#C%54#C%55#C%56#C%57#C%58#C%59#C%60#C%61#C%62#C%63#C%64#C%65#C%66#C%67#C%68#C%69#C%70#C%71#C%72#C%73#C%74#C%75#C%76#C%77#C%78#C%79#C%80#C%81#C%82#C%83#C%84#C%85#C%86#C%87#C%88#C%89#C%90#C%91#C%92#C%93#C%94#C%95#C%96#C%97#C%98#C%99#C%100#C%101#C%102#C%103#C%104#C%105#C%106#C%107#C%108#C%109#C%110#C%111#C%112#C%113#C%114#C%115#C%116#C%117#C%118#C%119#C%120#C%121,False,69
CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)[N-]S(=O)(=O)c3ccc(cn3)C(F)(F)F)[O-])CCc4ccccc4,True,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)[N-]S(=O)(=O)c3ccc(cn3)C(F)(F)F)[O-])CCc4ccccc4,False,166
C#N1#C2#C3#N=2N1NC1C3N123C1#C2O245#N(#CN1)C32F=C1ClS1(Cl4)O1C2O(Cl(OO[Fe])=O[Hg])F2#C5#F1#O,True,C#N1#C2#C3#N=2N1NC1C3N123C1#C2O245#N(#CN1)C32F=C1ClS1(Cl4)O1C2O(Cl(OO[Fe])=O[Hg])F2#C5#F1#O,False,5
B#S#C1#C#O=1ON=S1ON1C1#CCC#C2#C134ClC(NC=CC23)OC1O(Cl(NClC)(FN)[Hg]#Cl)F1#N4#F=[IH],True,B#S#C1#C#O=1ON=S1ON1C1#CCC#C2#C134ClC(NC=CC23)OC1O(Cl(NClC)(FN)[Hg]#Cl)F1#N4#F=[IH],False,353
