Start Experiment 02/07/2024 20:07:01

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 20:20:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:30:45
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1595.5422715535378
Experiment 1, 0.0, -1, 100.0, 1707.3926352958254
Experiment 2, 0.0, -1, 100.0, 1797.1265346883702
Experiment 3, 0.0, -1, 100.0, 1637.9977419254658
Experiment 4, 0.0, -1, 100.0, 1671.488232443349
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1681.9094831813095 ± 68.44048324068457
End Experiment
