original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1410
N#C1=CC=C2P3[Na]P3=O3ClNCN=[Ca]2FC(I)C#CC13,True,N#C1=CC=C2P3[Na]P3=O3ClNCN=[Ca]2FC(I)C#CC13,False,1171
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,265
O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,True,O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,False,767
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1255
N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,True,N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,False,717
O#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,O#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1050
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,859
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,367
N#C1=CC=C2C(=C1)C1=C(C=CC=C1)C1NC21,True,N#C1=CC=C2C(=C1)C1=C(C=CC=C1)C1NC21,False,349
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,542
O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,True,O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,False,371
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,554
N#C1=CC=C2(P3P3)O3ClNCN2FC(I)C#CC13,True,N#C1=CC=C2(P3P3)O3ClNCN2FC(I)C#CC13,False,1506
O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,True,O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C=CC13,False,1126
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,517
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,302
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1749
O=C1CCCP2(=P3)P3C(Cl)NCN=C2FC(I)C=CC13,True,O=C1CCCP2(=P3)P3C(Cl)NCN=C2FC(I)C=CC13,False,177
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,867
N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,True,N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,False,312
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,800
O=C1C=CC=C2P3P(=O)P3O3ClNCN=C2FC(I)C=CC13,True,O=C1C=CC=C2P3P(=O)P3O3ClNCN=C2FC(I)C=CC13,False,434
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1714
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,121
O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C#CC13,True,O=C1C=CC=C2(P3P3)O3ClNCN2FC(I)C#CC13,False,309
N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,True,N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,False,3
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1792
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,845
O=C1C=CC=C2(P3P3)OC3ClNCN2FC(I)C=CC13,True,O=C1C=CC=C2(P3P3)OC3ClNCN2FC(I)C=CC13,False,971
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1885
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,82
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,575
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,73
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,816
O#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,O#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,603
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,774
N#Cc1cc2cncs2c1,True,N#Cc1cc2cncs2c1,False,498
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,353
O=C1C=CC=C2P3P=CC=CC3=OClNCN=C2FC(I)C=CC1,True,O=C1C=CC=C2P3P=CC=CC3=OClNCN=C2FC(I)C=CC1,False,915
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,1395
O=CC=C(Cl)Cl,True,O=CC=C(Cl)Cl,False,689
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,430
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,88
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,60
N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,True,N#C1#C#C#C2(P3P3)O3ClNCN2FC(I)C#CC13,False,653
N#C1=CC=C2C=C3(P(=O)([Na]P3)=O)C=C1ClNCN=[Ca]2FC(I)C#CC13,True,N#C1=CC=C2C=C3(P(=O)([Na]P3)=O)C=C1ClNCN=[Ca]2FC(I)C#CC13,False,686
O=C1C=CC=C2(=P3P=3)C=C3ClN=CN=C2F.C(I)=C#CC13,True,O=C1C=CC=C2(=P3P=3)C=C3ClN=CN=C2F.C(I)=C#CC13,False,220
N#C1=CC=C2(P3P3)=O3ClNCN2FC(I)C#CC13,True,N#C1=CC=C2(P3P3)=O3ClNCN2FC(I)C#CC13,False,266
N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,True,N#C1#C#C#C2(P3[Na]P3)#O3#Cl#NCN[Ca]2FC(I)C#CC13,False,805
O=C1C=CC2(P3P3)O3ClNCN2FC(I)C=CC13,True,O=C1C=CC2(P3P3)O3ClNCN2FC(I)C=CC13,False,1227
