original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1812
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,218
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,855
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,440
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1932
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1423
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,900
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,832
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1783
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,49
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1669
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1233
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1302
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1541
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1041
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1720
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,529
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,801
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,286
ClC#CCl[Hg]#C[Sn]#[Cr],True,ClC#CCl[Hg]#C[Sn]#[Cr],False,1930
