original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C[Sn]CC[Sn]C[Sn]C,True,C[Sn]CC[Sn]C[Sn]C,True,1666
C[Sn]CC[Sn]C,True,C[Sn]CC[Sn]C,True,549
CC[Sn]C[SnH],True,CC[Sn]C[SnH],True,1566
CC[Sn]C,True,CC[Sn]C,True,1586
C[Sn]CC[Sn]C,True,C[Sn]CC[Sn]C,True,1316
C[Sn]CC[Sn]C[Sn][SnH],True,C[Sn]CC[Sn]C[Sn][SnH],True,303
[SnH]C[SnH],True,[SnH]C[SnH],True,878
C[Sn]CC[Sn]C[Sn]C[Sn]C,True,C[Sn]CC[Sn]C[Sn]C[Sn]C,True,1273
C[Sn][Sn]C,True,C[Sn][Sn]C,False,471
C[Sn][SnH],True,C[Sn][SnH],False,247
C=[SnH]CC[Sn]CC[SnH],True,C=[SnH]CC[Sn]CC[SnH],False,43
C[Sn]CC[Sn]C[Sn]C,True,C[Sn]CC[Sn]C[Sn]C,True,1229
CC[Sn]C,True,CC[Sn]C,True,1350
[SnH]C[Sn][SnH],True,[SnH]C[Sn][SnH],True,1708
C[Sn]C[Sn][Sn]C[SnH],True,C[Sn]C[Sn][Sn]C[SnH],True,1112
C=[SnH]C=C[Sn]C[SnH],True,C=[SnH]C=C[Sn]C[SnH],False,687
CC[Sn]C[Sn]C,True,CC[Sn]C[Sn]C,True,1318
CC[Sn]C,True,CC[Sn]C,True,442
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,426
[SnH]CC[SnH],True,[SnH]CC[SnH],True,770
CC[Sn]C,True,CC[Sn]C,True,11
C[Sn]C=C[Sn]C[SnH],True,C[Sn]C=C[Sn]C[SnH],True,501
C[Sn]C[Sn]CC[SnH],True,C[Sn]C[Sn]CC[SnH],True,1932
C[Sn]C[SnH],True,C[Sn]C[SnH],True,1910
CC[Sn]C,True,CC[Sn]C,True,1282
C[Sn]CC[Sn]C[Sn][Sn]C[SnH],True,C[Sn]CC[Sn]C[Sn][Sn]C[SnH],True,465
C[Sn]CC[SnH],True,C[Sn]CC[SnH],True,1264
C[Sn]C[Sn]C[SnH],True,C[Sn]C[Sn]C[SnH],True,1084
C[Sn]C[SnH],True,C[Sn]C[SnH],True,1689
C=[SnH]C=C[SnH],True,C=[SnH]C=C[SnH],False,1485
C[Sn]CC[SnH],True,C[Sn]CC[SnH],True,206
C[Sn]C(C)[Sn]C,True,C[Sn]C(C)[Sn]C,True,867
C=[SnH]CC[Sn]C[Sn]C,True,C=[SnH]CC[Sn]C[Sn]C,True,1656
[SnH]CC[SnH],True,[SnH]CC[SnH],True,1717
C[Sn]CC[Sn]C[Sn][SnH],True,C[Sn]CC[Sn]C[Sn][SnH],True,170
