original_cfs,true_cf,improved_cfs,feasible_cf
CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C,True,CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C,False
C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#[Na]3S#Cl4N5C(Br#N1C23)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,True,C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#[Na]3S#Cl4N5C(Br#N1C23)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,False
Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12.OC(=O)\\C=C/C(O)=O,True,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12.OC(=O)\\C=C/C(O)=O,True
CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,True,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,False
C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#B3S#Cl4N5C(Br#N1C32)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,True,C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#B3S#Cl4N5C(Br#N1C32)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,False
CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,True,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,True
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)NC3=CN=C(NC3=O)Nc4ccc(cc4)[S](N)(=O)=O)c5ccc(O)cc5)C(=O)N2[C@H]1C(O)=O,True,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)NC3=CN=C(NC3=O)Nc4ccc(cc4)[S](N)(=O)=O)c5ccc(O)cc5)C(=O)N2[C@H]1C(O)=O,False
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,True,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,True
C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#[Na]3S#Cl4N5C(Br#N1C23)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,True,C[SH]1C2#Cl(CC#I)Cl#21.NN#CC#O1#CC1#C#C1#C#C2#[Na]3S#Cl4N5C(Br#N1C23)[Na]54.[CaH2].[CaH2].[H]#[Ca].[H][Na](O)S,False
CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,True,CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,False
