Start Experiment 02/06/2024 12:14:56

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:17:19
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:39:33
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:41:12
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:42:51
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:45:34
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 12:46:14
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 8.333333333333332, 47.922643303871155, 100.0, 1567.5755920500221
Experiment 0, 0.0, -1, 100.0, 1637.686707121414
