Start Experiment 02/06/2024 16:01:10

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:01:26
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:05:36
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/06/2024 16:05:49
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1567.428036583775
Experiment 0, 0.0, -1, 100.0, 1569.8512775964466
Experiment 0, 8.333333333333332, 67.21980834007263, 100.0, 1571.6009407538133
Start Experiment 02/06/2024 17:40:41
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1517.1069932849175
Experiment 1, 0.0, -1, 100.0, 1586.395731502151
Experiment 1, 0.0, -1, 100.0, 1577.0591669151106
Experiment 0, 0.0, -1, 100.0, 1735.9164339832496
Experiment 1, 0.0, -1, 100.0, 1582.414598195551
Experiment 1, 4.166666666666666, 86.61459398269653, 100.0, 1574.0224156270453
Experiment 2, 0.0, -1, 100.0, 1577.147409403851
Experiment 1, 0.0, -1, 100.0, 1538.8148051313701
Experiment 2, 0.0, -1, 100.0, 1623.250652902768
Experiment 2, 0.0, -1, 100.0, 1584.6680237596502
Experiment 2, 0.0, -1, 100.0, 1560.2697647222524
Experiment 3, 0.0, -1, 100.0, 1477.5343679518562
Experiment 2, 0.0, -1, 100.0, 1537.9667885283131
Experiment 3, 0.0, -1, 100.0, 1555.3037543640746
Experiment 3, 0.0, -1, 100.0, 1609.2343072814735
Experiment 3, 0.0, -1, 100.0, 1612.6362901354623
Experiment 4, 4.166666666666666, 82.24552631378174, 100.0, 1567.7523181549925
Summary,0.8333333333333333 ± 1.6666666666666665,                 15.649105262756347 ± 33.298210525512694,                 100.0 ± 0.0,                 1555.2515727193252 ± 39.48135032129374
End Experiment
Experiment 3, 0.0, -1, 100.0, 1596.1071864239386
Experiment 4, 0.0, -1, 100.0, 1583.214321072921
Summary,1.6666666666666665 ± 3.3333333333333335,                 12.643961668014526 ± 27.287923336029053,                 100.0 ± 0.0,                 1582.0857672017376 ± 22.575632688101642
End Experiment
Experiment 4, 4.166666666666666, 77.16059970855713, 100.0, 1567.6360123083434
Summary,0.8333333333333333 ± 1.6666666666666665,                 14.632119941711426 ± 31.264239883422853,                 100.0 ± 0.0,                 1582.760843828293 ± 14.83252451430261
End Experiment
Experiment 4, 0.0, -1, 100.0, 1601.0008777609464
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1601.9612183655636 ± 72.19688122040935
End Experiment
Experiment 4, 0.0, -1, 100.0, 1555.463597918857
Summary,0.8333333333333333 ± 1.6666666666666667,                 16.522918796539308 ± 35.04583759307861,                 100.0 ± 0.0,                 1563.8998123377069 ± 30.827345781960542
End Experiment
