original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,True,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,False,"tensor(70, dtype=torch.int32)"
C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N,True,C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N,False,"tensor(29, dtype=torch.int32)"
C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],True,C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],False,"tensor(6, dtype=torch.int32)"
CCC(C)C(C)(COC(=O)N)COC(=O)N,True,CCC(C)C(C)(COC(=O)N)COC(=O)N,False,"tensor(102, dtype=torch.int32)"
CC1=CCCOO=C(OC2C34CC=CC5=O12NNC5F(O)FOF1CCOC1CClC3O4N.CNOO.OOOO.SH.CaH2,True,CC1=CCCOO=C(OC2C34CC=CC5=O12NNC5F(O)FOF1CCOC1CClC3O4N.CNOO.OOOO.SH.CaH2,False,"tensor(353, dtype=torch.int32)"
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,False,"tensor(73, dtype=torch.int32)"
C=CC[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2C(=O)CC[C@]3([C@H]1C5)O)O,True,C=CC[NH+]1CC[C@]23c4c5ccc(c4O[C@H]2C(=O)CC[C@]3([C@H]1C5)O)O,False,"tensor(171, dtype=torch.int32)"
C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],True,C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],False,"tensor(5, dtype=torch.int32)"
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,True,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,False,"tensor(41, dtype=torch.int32)"
C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],True,C#C1#CCCO#O#C#O2C34CC#C5#O12#NN[Pt]C5F(O)F#OF1[IH]CCO#C1(CCl)C3#O4N.CNOO.O#OO.O#[SH].[CaH2],False,"tensor(240, dtype=torch.int32)"
