Start Experiment 02/07/2024 18:44:29

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 18:52:32
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 19:04:57
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 12.5, 72.03177523612976, 100.0, 1900.779567251296
Summary,12.5 ± 0.0,                 72.03177523612976 ± 0.0,                 100.0 ± 0.0,                 1900.779567251296 ± 0.0
End Experiment
Start Experiment 02/07/2024 19:11:05
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 12.5, 51.89066378275553, 100.0, 1888.6432334558351
Summary,12.5 ± 0.0,                 51.89066378275553 ± 0.0,                 100.0 ± 0.0,                 1888.6432334558351 ± 0.0
End Experiment
Start Experiment 02/07/2024 19:14:38
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 12.5, 51.89066378275553, 100.0, 1888.6432334558351
Experiment 1, 8.333333333333332, 89.12619066238403, 100.0, 1883.2582781300553
Experiment 2, 8.333333333333332, 67.79367232322693, 100.0, 1694.6217632713349
