original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
OC[Co][BiH2],True,OC[Co][BiH2],False,14
C=S=C=[PH]=C=OC(COCCl=CC=ClC(CSC=CNCCC12=FF1F2)C1(F[Cu])CC2=CC(O(O)ON)=C(O)=C(=N2C)C2=C=[Cu]N=C21)[Cu](O)O[Cr],True,C=S=C=[PH]=C=OC(COCCl=CC=ClC(CSC=CNCCC12=FF1F2)C1(F[Cu])CC2=CC(O(O)ON)=C(O)=C(=N2C)C2=C=[Cu]N=C21)[Cu](O)O[Cr],False,23
C1#CC2C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C%18C%19C%20C%21C%22C%23C%24C%25C%26C%27C%28C%29C%30C%31C%32C%33C%34C%35C%36C%37C%38C%39C%40C%41C%42C%43C%44C%45C%46C%47C%48C%49C%50C%51C%52C%53C%54C%55C%56C%57C%58C%59C%60C%61C%62C%63C%64C%65C%66C%67C%68C%69C%70C%71C%72C%73C%74C%75C%76C%77C%78C%79C%80C%81C%82C%83C%84C%85C%86C%87C%88C%89C%90C%91C%92C%93C%94C%95C%96C%97C%98C%99C100C101C102C103C104C105C106C107C108C109C110C111C112C113C114C115C116C117C118C119C120C121,True,C1#CC2C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C%18C%19C%20C%21C%22C%23C%24C%25C%26C%27C%28C%29C%30C%31C%32C%33C%34C%35C%36C%37C%38C%39C%40C%41C%42C%43C%44C%45C%46C%47C%48C%49C%50C%51C%52C%53C%54C%55C%56C%57C%58C%59C%60C%61C%62C%63C%64C%65C%66C%67C%68C%69C%70C%71C%72C%73C%74C%75C%76C%77C%78C%79C%80C%81C%82C%83C%84C%85C%86C%87C%88C%89C%90C%91C%92C%93C%94C%95C%96C%97C%98C%99C100C101C102C103C104C105C106C107C108C109C110C111C112C113C114C115C116C117C118C119C120C121,False,397
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,False,73
CSC=[PH]=COC(COSClCCCl=C(CSC=CNCCC12FF1F2)C1CCCN(OS(F)=F)=C([SeH])(O(O)ON)C(=NS)C2=C=[Cu]N=C21)[Cu](O)OI,True,CSC=[PH]=COC(COSClCCCl=C(CSC=CNCCC12FF1F2)C1CCCN(OS(F)=F)=C([SeH])(O(O)ON)C(=NS)C2=C=[Cu]N=C21)[Cu](O)OI,False,252
[H]N12=[Si]3#C4=F=C4F4[BiH]#CC5=[Zn]6#C7=S1#C(#O2)C1#Cl=6[H]52=[Tl]([BiH]2=[Mn]2#[SH]=C(=N=I(S)=S(=F)(#F)#F)(=C(O)=C(=C)O2)C43=C7#[Ti])Cl2(O)(=C=1)C#C2=NC12C#C#N#P3#O1=O32,True,[H]N12=[Si]3#C4=F=C4F4[BiH]#CC5=[Zn]6#C7=S1#C(#O2)C1#Cl=6[H]52=[Tl]([BiH]2=[Mn]2#[SH]=C(=N=I(S)=S(=F)(#F)#F)(=C(O)=C(=C)O2)C43=C7#[Ti])Cl2(O)(=C=1)C#C2=NC12C#C#N#P3#O1=O32,False,465
CCl(CCl=C1C[SH]1C=CN)NC(O)C(CC=[PH]=C=CI)[Co](O)O,True,CCl(CCl=C1C[SH]1C=CN)NC(O)C(CC=[PH]=C=CI)[Co](O)O,False,200
CCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)OC(=O)OCC,True,CCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)OC(=O)OCC,False,134
C1=NC2=C(N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)N=C(N=C2N)Cl,True,C1=NC2=C(N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)N=C(N=C2N)Cl,False,30
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,True,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,False,17
C=S=N=[PH]=OOCN=CCClCC=ClC(=CS[SH]=[Fe]NC)[AsH]NCCN=[SH]C=C[Cr][Fe],True,C=S=N=[PH]=OOCN=CCClCC=ClC(=CS[SH]=[Fe]NC)[AsH]NCCN=[SH]C=C[Cr][Fe],False,333
C1=CC2=C3C(=C1)C(=O)C=C4C3=CC(=O)C=C4C2=O,True,C1=CC2=C3C(=C1)C(=O)C=C4C3=CC(=O)C=C4C2=O,False,115
CNS(=O)(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,True,CNS(=O)(=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,True,364
C=S=C(N=C1=NC#CO2=N1C21=CN2#C([Fe])=C#C1(ON)C[Tc]O2)=[PH]=C(OC[As](S)[Ti][Zn])C1ON1=Cl=CC=ClC1=CS1=C=CNC,True,C=S=C(N=C1=NC#CO2=N1C21=CN2#C([Fe])=C#C1(ON)C[Tc]O2)=[PH]=C(OC[As](S)[Ti][Zn])C1ON1=Cl=CC=ClC1=CS1=C=CNC,False,406
C1=C(C(=O)NC(=O)N1)F,True,C1=C(C(=O)NC(=O)N1)F,False,4
