original_cfs,true_cf,improved_cfs,feasible_cf
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC=O)C1C2=CC=CC3=CC=CC1C3C2#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC=O)C1C2=CC=CC3=CC=CC1C3C2#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC=O)C1=CC3=CC=CC=C3N1CC#N.[Na+].[Cl-].[CaH2].[KH].[NaH2],True,CCl(COC=O)C1=CC3=CC=CC=C3N1CC#N.[Na+].[Cl-].[CaH2].[KH].[NaH2],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1,True,CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1,False
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,True,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCOc1ccc(N=O)cc1,True,CCOc1ccc(N=O)cc1,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CC(=O)Nc1ccc(-c2ccccc2)cc1,True,CC(=O)Nc1ccc(-c2ccccc2)cc1,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1,True,CC(=O)N(C)c1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
C=CC(=O)OCCCl,True,C=CC(=O)OCCCl,False
CCl(COC=O)C1=CC3=CC=CC=C3N1CC#N.[Na+].[Cl-].[CaH2].[KH].[NaH2],True,CCl(COC=O)C1=CC3=CC=CC=C3N1CC#N.[Na+].[Cl-].[CaH2].[KH].[NaH2],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCCCC=CC=CC=CC=CC=COCC(O)CO,True,CCCCC=CC=CC=CC=CC=COCC(O)CO,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2,True,CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC=O)C12=PH=C13=CC3=N2CC=NaClPFI.PS.CaH2.KH.NaH.NaH,True,CCl(COC=O)C12=PH=C13=CC3=N2CC=NaClPFI.PS.CaH2.KH.NaH.NaH,False
CCC=CC=CC=CC=COCC(O)CO,True,CCC=CC=CC=CC=COCC(O)CO,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCOc1cc(CCl)ccc1C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCOc1cc(CCl)ccc1C12#[PH]#C134#CC3#N2C4C#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC=O)C1C3N2CC=CP=I.PS.CaH2.KH.NaH.NaH,True,CCl(COC=O)C1C3N2CC=CP=I.PS.CaH2.KH.NaH.NaH,False
CCl(COC=O)C1C#PH#C13#CC3#N2CC#Na#ClPFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC=O)C1C#PH#C13#CC3#N2CC#Na#ClPFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[Na]Br,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
CCl(COC=O)C1C2=CC3=CC(=O)C4C(C13)CCC4=O,True,CCl(COC=O)C1C2=CC3=CC(=O)C4C(C13)CCC4=O,False
CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],True,CCl(COC#O)C12#[PH]#C13#CC3#N2CC#[Na](#Cl)PFI.PS.[CaH2].[KH].[NaH].[NaH],False
