original_cfs,true_cf,improved_cfs,feasible_cf
C=C([Hg])=[Si]1=[Sn]2C3=C=O=C(CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])B([Ba])C#[Al].[Zr]#[Be].[Co]#[Bi].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C=C([Hg])=[Si]1=[Sn]2C3=C=O=C(CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])B([Ba])C#[Al].[Zr]#[Be].[Co]#[Bi].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH][BiH2],True,C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH][BiH2],False
C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],True,C#C#[Hg]#[Si]1#[Sn]2C(#C#O#C#CBr)[Sn]C[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[GeH4].[SnH2],False
C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH2][BiH2].[BiH2][BiH2].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[Fe][BiH][Fe].[GeH4].[SnH2],True,C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH]#[Ba].[Al]#[Zr].[Be]#[Co].[BiH2][BiH2].[BiH2][BiH2].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[BiH3].[Fe][BiH][Fe].[GeH4].[SnH2],False
C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3],True,C#C#[Hg]#[Si]1#[Sn]2C3#C#O#C(#CBr)C([Sn]3)[SnH]12.ClC#NC([SeH])[BiH3],False
