Start Experiment 02/08/2024 20:37:07

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 20:48:56
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 20:55:38
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 20:57:57
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1569.0336970214548
Experiment 1, 0.0, -1, 100.0, 1581.4441279599953
Experiment 2, 0.0, -1, 100.0, 1572.126605822924
Experiment 3, 0.0, -1, 100.0, 1576.381695272881
Experiment 4, 0.0, -1, 100.0, 1631.1045509319044
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1586.0181354018318 ± 22.92602507599475
End Experiment
