original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,1105
C#N#[SH]1Cl(#F)Br2F#C3[H]#C([CaH])C12#C#C3O1(#COFClCOCl)#C#C1234#CC15#N6#O#2C632#S#C#C13#C4(#C3)C52,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#C([CaH])C12#C#C3O1(#COFClCOCl)#C#C1234#CC15#N6#O#2C632#S#C#C13#C4(#C3)C52,False,1627
ON=1Cl(F)Br2FCC3HCC12CC3O1(COF)NC1234CC1N5O2C532SCC3C4(C3)C12,True,ON=1Cl(F)Br2FCC3HCC12CC3O1(COF)NC1234CC1N5O2C532SCC3C4(C3)C12,False,126
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#C#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#C#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,654
C#F1#[SH]2C(#F)Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C=12,True,C#F1#[SH]2C(#F)Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C=12,False,367
C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,213
C#F#[SH]1C(#[Na])Br2F#C3[H]#CC12#S#C3O1(#COF)#N#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#F#[SH]1C(#[Na])Br2F#C3[H]#CC12#S#C3O1(#COF)#N#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,673
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,1603
C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,1552
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,455
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\\C(=C(/O)NCO)C1=O,True,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\\C(=C(/O)NCO)C1=O,False,167
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,997
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,True,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,False,268
O=S1C(F)(F)Br2FC3=CC12SCO1(COF)NC1234CC1N5OC2C532SCC3C4(C3)C=21,True,O=S1C(F)(F)Br2FC3=CC12SCO1(COF)NC1234CC1N5OC2C532SCC3C4(C3)C=21,False,444
C#N#[SH]1Cl(#F)Br2F#C3[H]#C([CaH])C12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#C([CaH])C12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,106
C#F1#[SH]2C(#F)Br3F#C4[H]#CC23#S#C4O12(#COF)#C#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)[SH]21,True,C#F1#[SH]2C(#F)Br3F#C4[H]#CC23#S#C4O12(#COF)#C#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)[SH]21,False,303
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,186
C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,299
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,1817
C#CC1#FBr2C(#C#C1O1(#COF)#C#C1345#CC1#N6#O#3C643#S#C#C4#C5(#C4)C=31)[SH](#F#O)Cl2#F,True,C#CC1#FBr2C(#C#C1O1(#COF)#C#C1345#CC1#N6#O#3C643#S#C#C4#C5(#C4)C=31)[SH](#F#O)Cl2#F,False,43
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,970
O=CC1C2C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C%18C%19C%20C%21C%22C%23C%24C%25C%26C%27C%28C%29C%30C%31C%32C%33C%34C%35C%36C%37C%38C%39C%40C%41C%42C%43C%44C%45C%46C%47C%48C%49C%50C%51C%52C%53C%54C%55C%56C%57C%58C%59C%60C%61C%62C%63C%64C%65C%66C%67C%68C%69C%70C%71C%72C%73C%74C%75C%76C%77C%78C%79C%80C%81C%82C%83C%84C%85C%86C%87C%88C%89C%90C%91C%92C%93C%94C%95C%96C%97C%98C%99C100C101C102C103C104C105C106C107C108C109C110C111C112C113C114C115C116C117C118C119C120C121C122C123C124C125C126C127C128C129C130C131C132,True,O=CC1C2C3C4C5C6C7C8C9C%10C%11C%12C%13C%14C%15C%16C%17C%18C%19C%20C%21C%22C%23C%24C%25C%26C%27C%28C%29C%30C%31C%32C%33C%34C%35C%36C%37C%38C%39C%40C%41C%42C%43C%44C%45C%46C%47C%48C%49C%50C%51C%52C%53C%54C%55C%56C%57C%58C%59C%60C%61C%62C%63C%64C%65C%66C%67C%68C%69C%70C%71C%72C%73C%74C%75C%76C%77C%78C%79C%80C%81C%82C%83C%84C%85C%86C%87C%88C%89C%90C%91C%92C%93C%94C%95C%96C%97C%98C%99C100C101C102C103C104C105C106C107C108C109C110C111C112C113C114C115C116C117C118C119C120C121C122C123C124C125C126C127C128C129C130C131C132,False,1851
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,60
C#Nc1c(Br)F2FCC1C#N3CC1C#C3O1C#N1234CC1N5O2C532SCC3C4C12,True,C#Nc1c(Br)F2FCC1C#N3CC1C#C3O1C#N1234CC1N5O2C532SCC3C4C12,False,454
C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,168
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,308
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COFClCOCl)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,136
C#F1#[SH]2C(#F)Br3F#C4[H]#C([CaH])C23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#F)Br3F#C4[H]#C([CaH])C23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,778
C#F[SH]1C(#[Na])Br2F#C3[H]#CC12#S#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#F[SH]1C(#[Na])Br2F#C3[H]#CC12#S#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,170
C#CC1#FBr2C(#C#C1O1(#COF)#C#C1345#CC1#N6#O#3C643#S#C#C4#C5(#C4)C13)[SH](#N#C)Cl2#F,True,C#CC1#FBr2C(#C#C1O1(#COF)#C#C1345#CC1#N6#O#3C643#S#C#C4#C5(#C4)C13)[SH](#N#C)Cl2#F,False,91
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC2#N5#O#1C531#S#C#C3#C4(#C3)C21,False,1917
C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C=21,True,C#N#[SH]1Cl(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C=21,False,309
C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC25#N6#O#1C631#S#C#C23#C4(#C3)C51,True,C#F1#[SH]2C(#[Na])Br3F#C4[H]#CC23#S#C4O12(#COF)#N#C2134#CC25#N6#O#1C631#S#C#C23#C4(#C3)C51,False,422
C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#N1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,1324
CC(CCc1ccccc1)NC(C)C(O)c2ccc(O)cc2,True,CC(CCc1ccccc1)NC(C)C(O)c2ccc(O)cc2,False,159
C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#CC12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,1948
C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,True,C#N#[SH]1C(#F)Br2F#C3[H]#C=C12#C#C3O1(#COF)#C#C1234#CC1#N5#O#2C532#S#C#C3#C4(#C3)C12,False,48
