original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,True,C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,False,397
CCCCCOc1ccc(cc1)c2cc(no2)c3ccc(cc3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](c7ccc(c(c7)OS(=O)(=O)[O-])O)O)O)[C@@H](CC(=O)N)O)C)O)O)O,True,CCCCCOc1ccc(cc1)c2cc(no2)c3ccc(cc3)C(=O)N[C@H]4C[C@H]([C@H](NC(=O)[C@@H]5[C@H]([C@H](CN5C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]6C[C@H](CN6C(=O)[C@@H](NC4=O)[C@@H](C)O)O)[C@@H]([C@H](c7ccc(c(c7)OS(=O)(=O)[O-])O)O)O)[C@@H](CC(=O)N)O)C)O)O)O,False,254
CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(c(c2=O)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F)C,True,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCn2c1nc(c(c2=O)CC[NH+]3CCC(CC3)c4c5ccc(cc5on4)F)C,False,240
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,True,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,False,72
C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,True,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,False,23
C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,True,C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,False,33
C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,True,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,False,36
C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,True,C#S1#C2#O3C24#O#S2#S[Au]5C4O325#O23N[H]2#N2N#C13F21#S2#ClS23#O2(#N)[Hg]#I3[Co]#N21O(F)#F,False,353
CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,True,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,False,70
C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,True,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,False,3
