original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
N#CC1#OC(#BrC2#CN#[PH]F#C2)O#C1#C,True,N#CC1#OC(#BrC2#CN#[PH]F#C2)O#C1#C,False,51
CN(C)CCCNc1c2ccccc2nc2ccccc12,True,CN(C)CCCNc1c2ccccc2nc2ccccc12,False,379
N#CC1N=C(N)C#N1,True,N#CC1N=C(N)C#N1,False,1683
CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,True,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1,False,1740
N#CC1OC(Br)C2CN[P]FC2OC1C,True,N#CC1OC(Br)C2CN[P]FC2OC1C,False,1210
C#NCC(OC#BrC1#CN#CFC1)C#O,True,C#NCC(OC#BrC1#CN#CFC1)C#O,False,256
N#CC1OC(Br)C2CN[P]FCC2OC1C,True,N#CC1OC(Br)C2CN[P]FCC2OC1C,False,1264
OC1=CC=C2C=C3C(OC2=C1)C1=CC=CC=C1C3=O,True,OC1=CC=C2C=C3C(OC2=C1)C1=CC=CC=C1C3=O,False,16
N#CC1OC(Br)C2CN[P]FCC2OC1C,True,N#CC1OC(Br)C2CN[P]FCC2OC1C,False,922
C#NCC(OCBrC1CN[P]F)C(C)O,True,C#NCC(OCBrC1CN[P]F)C(C)O,False,932
C#NC1#OC(#BrC2#CN#CF#C2)O#C1#C,True,C#NC1#OC(#BrC2#CN#CF#C2)O#C1#C,False,335
C#N[C@@H]1OC(Br)C2CN[P@H]FCC2O1C,True,C#N[C@@H]1OC(Br)C2CN[P@H]FCC2O1C,False,663
[H]#NC1#OC(#BrC2#CN#[PH]F#C2)O#C1#C,True,[H]#NC1#OC(#BrC2#CN#[PH]F#C2)O#C1#C,False,433
N#CC1OC(BrC2CN[P]FC2)OC1C,True,N#CC1OC(BrC2CN[P]FC2)OC1C,False,138
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)cc4)cc3)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,True,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)cc4)cc3)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,False,486
C#NCC(OCBrC1CN[P]F1)C(C)O,True,C#NCC(OCBrC1CN[P]F1)C(C)O,False,70
N#CC1OC(Br)C2CN[P]FCC2OC1C,True,N#CC1OC(Br)C2CN[P]FCC2OC1C,False,658
