original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,1303
O=[Sn]([Sn]=O)[Cu]ClB[SnH],True,O=[Sn]([Sn]=O)[Cu]ClB[SnH],False,192
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,600
CCO=O[Sn][Sn]=O.[Cu]=Cl=B=Cl,True,CCO=O[Sn][Sn]=O.[Cu]=Cl=B=Cl,False,470
CC1OOCN2NC[Sn]CNC12,True,CC1OOCN2NC[Sn]CNC12,False,1147
CC1(C)COP(Oc2ccccc2)OC1,True,CC1(C)COP(Oc2ccccc2)OC1,False,1291
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,42
C#C1O#O#C#C#N#N2N(C[Si]C)N12,True,C#C1O#O#C#C#N#N2N(C[Si]C)N12,False,594
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,1121
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,753
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,1106
O=[Sn]([Cu])Cl,True,O=[Sn]([Cu])Cl,False,619
CC1=CC(=O)OCC2N=NC(=N1)N2,True,CC1=CC(=O)OCC2N=NC(=N1)N2,False,1053
CCO=OCC[Sn](=O)[Cu]#Cl#[B-][SnH],True,CCO=OCC[Sn](=O)[Cu]#Cl#[B-][SnH],False,368
C#C1O#O#C#C#N#N2N(C[Sn]C)N12,True,C#C1O#O#C#C#N#N2N(C[Sn]C)N12,False,180
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,True,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,False,1882
