original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
N#O#OC1#C2#C1#N21#N#N#C#C#S12#CO2C1OC1COC1C#C12O[Na]2ClC#OCBrClBr,True,N#O#OC1#C2#C1#N21#N#N#C#C#S12#CO2C1OC1COC1C#C12O[Na]2ClC#OCBrClBr,False,154
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,True,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,False,268
B=B1=B(=[Ca])B=B=[Ca]=P2=[Ca]=P=[Ca]3=B(=[Ca])=B(=B)=[Ca][Ca](=B(=[Ca])B=B4=B=B(=[Ca]=[Ca]=[Ca]=1[CaH])Br=B1(=[Ca]4)=B(=[Ca](=B)B)=[Ca](=[Ca])=[Ca][Ca]1)=B3=2=B,True,B=B1=B(=[Ca])B=B=[Ca]=P2=[Ca]=P=[Ca]3=B(=[Ca])=B(=B)=[Ca][Ca](=B(=[Ca])B=B4=B=B(=[Ca]=[Ca]=[Ca]=1[CaH])Br=B1(=[Ca]4)=B(=[Ca](=B)B)=[Ca](=[Ca])=[Ca][Ca]1)=B3=2=B,False,186
FCl(Br)BrON=CClC1OC12CC2OCBr1C2=O3O=S3NN(CCNCNC3C=C3OO)C21,True,FCl(Br)BrON=CClC1OC12CC2OCBr1C2=O3O=S3NN(CCNCNC3C=C3OO)C21,False,279
N#C#O1C2=C13#C2#N3#C#C#N1#N#S2#OO2=C2O1Br2CO#C1C#C12C1ClC#O[Na](BrClBr)O12,True,N#C#O1C2=C13#C2#N3#C#C#N1#N#S2#OO2=C2O1Br2CO#C1C#C12C1ClC#O[Na](BrClBr)O12,False,425
B1=B(=[Ca])B=B=[Ca]#Br2B3(B)B(BB)B4B(=B)=[Ca]#[Ca]#[Ca]=1B=[Ca]#B1(=[Ca]#4)=[Ca]B(=[Ca]B)=[Ca](=[Ca])B[Ca]1=[Ca]B(=B)=[Ca](=P)=[Ca]3B=[Ca]=2,True,B1=B(=[Ca])B=B=[Ca]#Br2B3(B)B(BB)B4B(=B)=[Ca]#[Ca]#[Ca]=1B=[Ca]#B1(=[Ca]#4)=[Ca]B(=[Ca]B)=[Ca](=[Ca])B[Ca]1=[Ca]B(=B)=[Ca](=P)=[Ca]3B=[Ca]=2,False,910
CClBrCOC=CCl[Na]OC1=CF1OC1C2C(O3CS3CCN3C4C3C4CO=N)O12,True,CClBrCOC=CCl[Na]OC1=CF1OC1C2C(O3CS3CCN3C4C3C4CO=N)O12,False,335
N#O#CN1#C2#C1#N2#N#O#C#C#S1#CCl1C1OC1OO#FC#COCFC#OCBrCl,True,N#O#CN1#C2#C1#N2#N#O#C#C#S1#CCl1C1OC1OO#FC#COCFC#OCBrCl,False,1706
CClBrCOC=CCl[Na]OC1=CF1OCC1OC1O1C=S1=CC#C#N#N#N1#C2#C1#C2O#O#N,True,CClBrCOC=CCl[Na]OC1=CF1OCC1OC1O1C=S1=CC#C#N#N#N1#C2#C1#C2O#O#N,False,825
N#CC1=C2C(=C1)C(=O)C(=C(N2)N#N)C#N,True,N#CC1=C2C(=C1)C(=O)C(=C(N2)N#N)C#N,False,405
