original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
CCOC(=O)Nc1ccc(cc1N)NCc2ccc(cc2)F,True,CCOC(=O)Nc1ccc(cc1N)NCc2ccc(cc2)F,False,328
C#C1#N2(Cl(N)O[AsH]O)#O#O3NC1N1O45C3#C3#C6#O14C2#O1#O2#C1C51SCl24NC14O1OFF1#F[IH]Cl12#O#F1Cl2F36Cl,True,C#C1#N2(Cl(N)O[AsH]O)#O#O3NC1N1O45C3#C3#C6#O14C2#O1#O2#C1C51SCl24NC14O1OFF1#F[IH]Cl12#O#F1Cl2F36Cl,False,16
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,False,74
C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,True,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,False,23
C1CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl,True,C1CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl,False,25
B#C1#N2#[PH]#O3NC1=NCN3#C=C(O(OBr)Cl1F#FF1[IH]C#C)#OC2#O=C1#CNSO12NO2O,True,B#C1#N2#[PH]#O3NC1=NCN3#C=C(O(OBr)Cl1F#FF1[IH]C#C)#OC2#O=C1#CNSO12NO2O,False,4
C#C1#N23([SH](N)O[AsH]O)#O4#O5C6#C7#C8#O9%10C2#O2#O%11#C2C2(SCl%11%12NC2%12O2%11OFF2#F2I%11Cl2%11%12#O#F%11Cl%12F78Cl)O69N%103C1N54,True,C#C1#N23([SH](N)O[AsH]O)#O4#O5C6#C7#C8#O9%10C2#O2#O%11#C2C2(SCl%11%12NC2%12O2%11OFF2#F2I%11Cl2%11%12#O#F%11Cl%12F78Cl)O69N%103C1N54,False,156
C#N1#N2#O#ONC1NCN#CC(F(OBr[Cr][BiH2])Cl1F=FN1[IH]C#CCC)=OC2#OC1#CNSN12SN2O,True,C#N1#N2#O#ONC1NCN#CC(F(OBr[Cr][BiH2])Cl1F=FN1[IH]C#CCC)=OC2#OC1#CNSN12SN2O,False,230
C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,True,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,False,18
B#N1#N2#O#ONC1NON#CC(F(OBr[Cr][BiH2])Cl1F#FN1[IH]C#CCN)=OC2#OO1#CNSN12SN2O,True,B#N1#N2#O#ONC1NON#CC(F(OBr[Cr][BiH2])Cl1F#FN1[IH]C#CCN)=OC2#OO1#CNSN12SN2O,False,252
CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,True,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,False,68
CC(C)C1=CC(=C2C(=C1)OC[C@H]3[C@H]2CC(=O)CC3)O,True,CC(C)C1=CC(=C2C(=C1)OC[C@H]3[C@H]2CC(=O)CC3)O,False,223
C1=NC2=C(N1)C(=S)N=C(N2)N,True,C1=NC2=C(N1)C(=S)N=C(N2)N,False,28
C#C1#N2(S)#O#O3NC1N1C4N3#C3#C5#O41C2#O1=C2#C1CSO21NN1O1OFC1#C[IH]N12=O#F1Cl2O35Cl[CaH],True,C#C1#N2(S)#O#O3NC1N1C4N3#C3#C5#O41C2#O1=C2#C1CSO21NN1O1OFC1#C[IH]N12=O#F1Cl2O35Cl[CaH],False,45
C#C1#N2([SH](N)O[AsH]O)#O#O3NC1N1O45C3#C3#C6#O14C2#O1#O2#C1C51SCl24NC14O1OFF1#F[IH]Cl12#O#F1Cl2F36Cl,True,C#C1#N2([SH](N)O[AsH]O)#O#O3NC1N1O45C3#C3#C6#O14C2#O1#O2#C1C51SCl24NC14O1OFF1#F[IH]Cl12#O#F1Cl2F36Cl,False,38
C#N1#N2#O#ONC1NON#CC(F(OBr[TlH2])Cl1F#ON1[IH]C#CFN)=OC2#OO1#CNSN12SN2O,True,C#N1#N2#O#ONC1NON#CC(F(OBr[TlH2])Cl1F#ON1[IH]C#CFN)=OC2#OO1#CNSN12SN2O,False,458
