Start Experiment 02/07/2024 20:14:19

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 21:32:40
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:09:31
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/07/2024 22:13:05
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1565.0658379261965
Experiment 1, 0.0, -1, 100.0, 1854.5212585519646
Experiment 2, 4.166666666666666, 27.415640115737915, 100.0, 1621.370963645248
Experiment 3, 0.0, -1, 100.0, 1494.7970850826675
Experiment 4, 0.0, -1, 100.0, 1584.1747670519974
Summary,0.8333333333333333 ± 1.6666666666666667,                 4.683128023147583 ± 11.366256046295169,                 100.0 ± 0.0,                 1623.9859824516147 ± 122.39251558483262
End Experiment
