Start Experiment 02/08/2024 05:40:29

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 05:45:51
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 06:18:28
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1570.9094418825832
Start Experiment 02/08/2024 08:20:13
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1558.2610187929715
Experiment 1, 0.0, -1, 100.0, 1571.9985916493333
Experiment 2, 0.0, -1, 100.0, 1501.360917932902
Experiment 3, 0.0, -1, 100.0, 1489.2398967493727
