Start Experiment 02/08/2024 16:48:13

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:17:38
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:33:16
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:37:23
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 19:13:46
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 737.9956584728226
Experiment 1, 0.75, 17.89757013320923, 100.0, 772.0848937196603
Experiment 2, 0.0, -1, 100.0, 749.9614847890192
Experiment 3, 0.0, -1, 100.0, 428.2335243830376
Experiment 4, 0.0, -1, 100.0, 511.85133239930394
Summary,0.15 ± 0.30000000000000004,                 2.779514026641846 ± 7.559028053283692,                 100.0 ± 0.0,                 640.0253787527687 ± 141.70971339193338
End Experiment
