Start Experiment 02/08/2024 16:48:13

Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:25:40
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:33:16
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 17:37:35
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Start Experiment 02/08/2024 19:13:33
Experiment, validity, proximity, validity_without_chem, proximity_without_chem
Experiment 0, 0.0, -1, 100.0, 1727.4005356691778
Experiment 1, 0.0, -1, 100.0, 1808.3009833029162
Experiment 2, 0.0, -1, 100.0, 1619.3111641019786
Experiment 3, 0.0, -1, 100.0, 1750.3084700749826
Experiment 4, 0.0, -1, 100.0, 1806.5101144261062
Summary,0.0 ± 0.0,                 -1.0 ± 0.0,                 100.0 ± 0.0,                 1742.3662535150324 ± 69.12514742083658
End Experiment
