original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C1=C(C(=O)NC(=O)N1)F,True,C1=C(C(=O)NC(=O)N1)F,False,4
C1=CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl,True,C1=CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl,False,25
C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](C(C)C)NC(=O)[C@H]3CC4=C(CN3)C=C(C=C4)O,True,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](C(C)C)NC(=O)[C@H]3CC4=C(CN3)C=C(C=C4)O,False,45
C=C1C2C(=C=C=CC=C=C=C=C=C=C=C#C=C#S3=C=C3=O=C=O=C=C=CC3C=C=FCl3CC[Ca]C=CN(Cl)CO)=O21,True,C=C1C2C(=C=C=CC=C=C=C=C=C=C=C#C=C#S3=C=C3=O=C=O=C=C=CC3C=C=FCl3CC[Ca]C=CN(Cl)CO)=O21,False,394
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,True,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,False,67
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,False,73
C=[SH]#C1O=C1C=C=CNC=C=C=C=C=CC#C=C1#S2=O1=C2=O=C=OC=C=CCO=C=OO=[AlH2]=[Co][Ca]C=[SiH]C(=[Zn])([AsH2])[Hg]([Au])([SiH2][Ti]Cl)[Cu]=[Zn],True,C=[SH]#C1O=C1C=C=CNC=C=C=C=C=CC#C=C1#S2=O1=C2=O=C=OC=C=CCO=C=OO=[AlH2]=[Co][Ca]C=[SiH]C(=[Zn])([AsH2])[Hg]([Au])([SiH2][Ti]Cl)[Cu]=[Zn],False,399
C#S1#C2#C13#C2=C3#C=CC1#C=C#N2=O1=C2#C=C#C#C1#S2#O1#N21=C#C1=O=C#C=C=C1=C=C#Cl2C(CC(=Cl)[Fe]3([TlH2])([Cu]=[Cr])F4[Bi]=[Tl]43)Br=[Co]=C=Cl12,True,C#S1#C2#C13#C2=C3#C=CC1#C=C#N2=O1=C2#C=C#C#C1#S2#O1#N21=C#C1=O=C#C=C=C1=C=C#Cl2C(CC(=Cl)[Fe]3([TlH2])([Cu]=[Cr])F4[Bi]=[Tl]43)Br=[Co]=C=Cl12,False,360
C=S1#C=O1=C=C=C=CC1=C=C=N=C1C=CC=C=C1=S2#O1=N2=O=C=O=C=CCC(C=C=Cl)Cl=CC[Ca]C=CC=Cl,True,C=S1#C=O1=C=C=C=CC1=C=C=N=C1C=CC=C=C1=S2#O1=N2=O=C=O=C=CCC(C=C=Cl)Cl=CC[Ca]C=CC=Cl,False,458
C=S1#CO=C=C=C1=C1C2=C1=O=NO2C=CC=CC=[SH]1=O=N1=C=C=NC=FCC(C=CCl)[Co]CC[Ca]C=CC=Cl,True,C=S1#CO=C=C=C1=C1C2=C1=O=NO2C=CC=CC=[SH]1=O=N1=C=C=NC=FCC(C=CCl)[Co]CC[Ca]C=CC=Cl,False,23
CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,True,CC1=C(C2=CC=CC=C2N1)CCNCC3=CC=C(C=C3)/C=C/C(=O)NO,False,68
C=C1#C2=C1=N2=C#C=CC=C#C1=C=C=C#Cl=C#C=C2#S3#O2#C3=O#C2=O1=C=C#CF2=C=C#Cl1O,True,C=C1#C2=C1=N2=C#C=CC=C#C1=C=C=C#Cl=C#C=C2#S3#O2#C3=O#C2=O1=C=C#CF2=C=C#Cl1O,False,286
C=C1#C2=O1=N2C=C1=CC12=C=C1=C=C2=C#C=C#C=C2#[SH]=C2=C=O2=C=O1=C=C=C2F=O=C=COC=[Co][Ca][Mn]CC1([AsH2])=[Fe]Cl[BiH][Cr][Hg]1([Au])[Cu][Au],True,C=C1#C2=O1=N2C=C1=CC12=C=C1=C=C2=C#C=C#C=C2#[SH]=C2=C=O2=C=O1=C=C=C2F=O=C=COC=[Co][Ca][Mn]CC1([AsH2])=[Fe]Cl[BiH][Cr][Hg]1([Au])[Cu][Au],False,38
C1=NC2=C(N1)C(=S)N=C(N2)N,True,C1=NC2=C(N1)C(=S)N=C(N2)N,False,28
C#C=C1C=C=C1C#C1#CC1=C=C1=C=C=C#Cl=C#C=C#[SH]=O#C2=O=C2=O1=C=C=CC1=O=C1#FO1[Al]=C[Ca]C=C1C1([AsH2])=[Tl]Cl[Co][Au][Fe]1[AsH2],True,C#C=C1C=C=C1C#C1#CC1=C=C1=C=C=C#Cl=C#C=C#[SH]=O#C2=O=C2=O1=C=C=CC1=O=C1#FO1[Al]=C[Ca]C=C1C1([AsH2])=[Tl]Cl[Co][Au][Fe]1[AsH2],False,14
C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,True,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO,False,18
C[SH]1#C2N(=C=C3=CN3=C=C=C=C=C=C=C#C=C=S=C=CO=C=O=C=CC[IH]C=C=FOOC[Ca]C=CC=S)O21,True,C[SH]1#C2N(=C=C3=CN3=C=C=C=C=C=C=C#C=C=S=C=CO=C=O=C=CC[IH]C=C=FOOC[Ca]C=CC=S)O21,False,156
C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,True,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O,False,11
C#S1#C2=C=C23=C#C1=C3C1=C=O=N2=O1=C2#CC#C=C#S1#O=N12#C#C2=N=F=FC=C12=[Hg]3=C=Cl3Cl1=C=[Co][Ca]C=CC([Fe](=[Au])([Co][Zn]F)[Cu]=[TlH])#Cl2,True,C#S1#C2=C=C23=C#C1=C3C1=C=O=N2=O1=C2#CC#C=C#S1#O=N12#C#C2=N=F=FC=C12=[Hg]3=C=Cl3Cl1=C=[Co][Ca]C=CC([Fe](=[Au])([Co][Zn]F)[Cu]=[TlH])#Cl2,False,16
C#C1#C2=O1#C2=C#C1#CC12=C=C1=C#C2#C#C=C2#C=C3#[SH]=C3=C3=O2=C3=O1=C=C=CF=Cl=C#OO[AlH][Co][Ca]C[TlH2],True,C#C1#C2=O1#C2=C#C1#CC12=C=C1=C#C2#C#C=C2#C=C3#[SH]=C3=C3=O2=C3=O1=C=C=CF=Cl=C#OO[AlH][Co][Ca]C[TlH2],False,223
C=C#C=C=CC=C=CC=C=C1C=C=C=CC=CC2=[SH]3=O2=C3=O=C=O1C=CCC1C=C=OCl1CC[Ca]C1CC1(=Cl)[Si]([TlH2])([Cu]=[BiH])[Au][Mn]Cl,True,C=C#C=C=CC=C=CC=C=C1C=C=C=CC=CC2=[SH]3=O2=C3=O=C=O1C=CCC1C=C=OCl1CC[Ca]C1CC1(=Cl)[Si]([TlH2])([Cu]=[BiH])[Au][Mn]Cl,False,230
C#S1#C2=O1=C2#C#C=C12C3=C1=O=N21=C3=C1#C=C#C#C1#S2#O1#N21=C#C12=N=C#F=C=C213=C2#F14=Cl2Cl3=C=C=[Ca]4C=CC1#ClN([BiH]O)[Fe]1(=[Au])[Cu]=[AlH],True,C#S1#C2=O1=C2#C#C=C12C3=C1=O=N21=C3=C1#C=C#C#C1#S2#O1#N21=C#C12=N=C#F=C=C213=C2#F14=Cl2Cl3=C=C=[Ca]4C=CC1#ClN([BiH]O)[Fe]1(=[Au])[Cu]=[AlH],False,252
C=C1#C2=O1=N2C#C1#CC1=C=C1=C#N=C#Cl=C2#C=C3#[SH]=C3=C3#O2#O3=O1=C=C=CF=Cl=C#FO[Al]=[Co][Ca][Cr]=[Al][Mn](=[Zn])([AsH2])[Fe][AsH2],True,C=C1#C2=O1=N2C#C1#CC1=C=C1=C#N=C#Cl=C2#C=C3#[SH]=C3=C3#O2#O3=O1=C=C=CF=Cl=C#FO[Al]=[Co][Ca][Cr]=[Al][Mn](=[Zn])([AsH2])[Fe][AsH2],False,42
CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,True,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,False,74
