original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
B1C#CC#C#CC#C#CC1SCCC1CC(C)C#C2OC2O3ON3OOCOFI,True,B1C#CC#C#CC#C#CC1SCCC1CC(C)C#C2OC2O3ON3OOCOFI,False,286
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,True,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,False,17
C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,True,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,False,7
Cl[AsH]#[AlH2][Hg]CS12#O#C3#N4#C56OC51C15C[Fe](C17CC5C#C1#C7#O15#N17#O5O1N7CC[Zn]#I)C#26#C4#C3,True,Cl[AsH]#[AlH2][Hg]CS12#O#C3#N4#C56OC51C15C[Fe](C17CC5C#C1#C7#O15#N17#O5O1N7CC[Zn]#I)C#26#C4#C3,False,350
CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(c4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)[NH+]7CCCCC7,True,CCc1c2cc(ccc2nc-3c1Cn4c3cc5c(c4=O)COC(=O)[C@@]5(CC)O)OC(=O)N6CCC(CC6)[NH+]7CCCCC7,False,151
Cl[AsH]#[AlH2]ClClS12#O#C3#N4#C56OC51C15C[Fe]C1CC5C(#C1#C#O15#O17#O5O1N7CC[Zn]#I)C4(#C3)#C#26,True,Cl[AsH]#[AlH2]ClClS12#O#C3#N4#C56OC51C15C[Fe]C1CC5C(#C1#C#O15#O17#O5O1N7CC[Zn]#I)C4(#C3)#C#26,False,46
CCC1=CC2C[C@@](c3c(c4ccccc4[nH]3)C[NH+](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[NH+]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC,True,CCC1=CC2C[C@@](c3c(c4ccccc4[nH]3)C[NH+](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[NH+]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC,False,156
CC(C#C1#O#C12#O13#N2O1N3CCF#I)C1(C23C[SH]2#N2#C4#C#O3#C#S2#B4)CCO1,True,CC(C#C1#O#C12#O13#N2O1N3CCF#I)C1(C23C[SH]2#N2#C4#C#O3#C#S2#B4)CCO1,False,353
B#S1#O#O2#O#C#N1#[SH]1CC21C12ClCC1NC2C#C1#O#Cl12#N13#N2O1N31CCC#[IH]C12FCl2,True,B#S1#O#O2#O#C#N1#[SH]1CC21C12ClCC1NC2C#C1#O#Cl12#N13#N2O1N31CCC#[IH]C12FCl2,False,3
CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,True,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,False,59
