original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
O=CC1NCCN1O1CC12NSCCCl,True,O=CC1NCCN1O1CC12NSCCCl,False,397
[Li]#[H][H]#[H]#[H](P)#[H]#[Li]#[Ca],True,[Li]#[H][H]#[H]#[H](P)#[H]#[Li]#[Ca],False,204
C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,True,C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,False,625
CC1=C(O)C=CC=C1.CC1=CC=C(O)C=C1.CC1=CC=CC=C1O,True,CC1=C(O)C=CC=C1.CC1=CC=C(O)C=C1.CC1=CC=CC=C1O,False,1156
[Li]I#[Li],True,[Li]I#[Li],True,892
CC(C)(C)C#CC#CC1CC2C1C1C2BrCCN1,True,CC(C)(C)C#CC#CC1CC2C1C1C2BrCCN1,False,800
CC1(=O)OCC1C#N,True,CC1(=O)OCC1C#N,False,974
C[Li]C(CC)C#CC#CC#CC1CC1C1#CBrCCN1,True,C[Li]C(CC)C#CC#CC#CC1CC1C1#CBrCCN1,False,941
CC(C)(C)C#CC1CC2CC1C2C#CC(O)C1=CC=CC=N1,True,CC(C)(C)C#CC1CC2CC1C2C#CC(O)C1=CC=CC=N1,False,65
Cl#C#N#S#C#C12OO1C21#OBrCCF1,True,Cl#C#N#S#C#C12OO1C21#OBrCCF1,False,295
[H]#[Ca]#[Li][Li]([Li])#[H][H]#[H]#[H]1#[Li]#[Li]#[Ca][Ca]#[PH]1,True,[H]#[Ca]#[Li][Li]([Li])#[H][H]#[H]#[H]1#[Li]#[Li]#[Ca][Ca]#[PH]1,False,37
O=CC1NCCCO1,True,O=CC1NCCCO1,False,703
ClC=O=S=C=C1OO1C1=OBrCCN1,True,ClC=O=S=C=C1OO1C1=OBrCCN1,False,915
CBrO=C1C2CC12N=C=O=C=Cl,True,CBrO=C1C2CC12N=C=O=C=Cl,False,496
[Li]#[H][H]#[H]#[H]1#[H]#[Li]#[Li][Ca]#[PH]1,True,[Li]#[H][H]#[H]#[H]1#[H]#[Li]#[Li][Ca]#[PH]1,False,783
CC(C)(C)C#CC1CC2CC1C2C#CC#CC#CC(=O)C[Li]Br,True,CC(C)(C)C#CC1CC2CC1C2C#CC#CC#CC(=O)C[Li]Br,False,750
C[H]C1CCC2(#OBrCCF1)O1OC12=N#S#O#C#Cl,True,C[H]C1CCC2(#OBrCCF1)O1OC12=N#S#O#C#Cl,False,117
C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,True,C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,False,49
ClC#N#S#C=C12OO1C21#OBrCCF1,True,ClC#N#S#C=C12OO1C21#OBrCCF1,False,978
[H][H](#[H][H]#[Li]#I(P)#[Li]#[Li]#[Ca])[Li]#[Ca]#[Li],True,[H][H](#[H][H]#[Li]#I(P)#[Li]#[Li]#[Ca])[Li]#[Ca]#[Li],False,873
CC(C)(C)C(=O)C1=C2CC1C21CBrCCN1,True,CC(C)(C)C(=O)C1=C2CC1C21CBrCCN1,False,725
C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,True,C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,False,1212
[H]#[Ca]#[Li][H]([Li])#[H][H]#[H]#[H](P)#[H]=[Li]#[Ca],True,[H]#[Ca]#[Li][H]([Li])#[H][H]#[H]#[H](P)#[H]=[Li]#[Ca],False,617
[Li][H](#[H][H]#[H]#[H](P)#[H]#[Li]#[Li])[Li]#[Ca]#[Li],True,[Li][H](#[H][H]#[H]#[H](P)#[H]#[Li]#[Li])[Li]#[Ca]#[Li],False,945
C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,True,C[Li]C(CC)C(#C#C#O)#C#C12CC1C21#CBrCCN1,False,1950
[H]#[Ca]#[Li][Li]([Li])#[H][H]#[H]#[H](P)#[H]=[Li]#[Ca],True,[H]#[Ca]#[Li][Li]([Li])#[H][H]#[H]#[H](P)#[H]=[Li]#[Ca],False,360
O=C1C=Cc2ccc3c4c(ccc1c24)C=CC3=O,True,O=C1C=Cc2ccc3c4c(ccc1c24)C=CC3=O,False,866
CC(C)(C)Oc1ccc2nc3cc(Cl)ccc3c(NCCCN(C)C)cn2c1.Cl.Cl.O,True,CC(C)(C)Oc1ccc2nc3cc(Cl)ccc3c(NCCCN(C)C)cn2c1.Cl.Cl.O,True,270
CC(C)(C)C#CC#CC#CC=O,True,CC(C)(C)C#CC#CC#CC=O,True,33
CCC12(=OBrCCN1)O1CC12#N#S#O#C#Cl,True,CCC12(=OBrCCN1)O1CC12#N#S#O#C#Cl,False,1170
[H]#[Ca]#[Li][H]([Li])#[H][H]#[H]#[H](P)#[H]#[Li],True,[H]#[Ca]#[Li][H]([Li])#[H][H]#[H]#[H](P)#[H]#[Li],False,767
C[Li]C(CC)C(#C#C#O)C#C12CC1C21#CBrCCN1,True,C[Li]C(CC)C(#C#C#O)C#C12CC1C21#CBrCCN1,False,160
CC(C)(C)C#CC1CC2CC1C2Br,True,CC(C)(C)C#CC1CC2CC1C2Br,True,493
CC1OC(OC2CC(O)(CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)C(I)C(O)C1O,True,CC1OC(OC2CC(O)(CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)C(I)C(O)C1O,False,414
[H]#[Ca]#[Li][Li]([Li])#[H][H]#[Li]#[H](P)#[H]#[Li]#[Ca],True,[H]#[Ca]#[Li][Li]([Li])#[H][H]#[Li]#[H](P)#[H]#[Li]#[Ca],False,1260
CCC1=C(CC2NCCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CCN2C1,True,CCC1=C(CC2NCCc3cc(OC)c(OC)cc32)CC2c3cc(OC)c(OC)cc3CCN2C1,False,1207
CC(C)(C)C#CC1CC2CC1C2C1#CCBrCCN1,True,CC(C)(C)C#CC1CC2CC1C2C1#CCBrCCN1,False,676
CC(C)C(NC)C1C(=O)BrCCF1O1OC12CSCNCCl,True,CC(C)C(NC)C1C(=O)BrCCF1O1OC12CSCNCCl,False,195
CCC12(=O)BrCCF1O1OC12CSC#NCCl,True,CCC12(=O)BrCCF1O1OC12CSC#NCCl,False,567
C[Li]C(CC)C#CC#CC#CC1CC1C1#CBrCCN1,True,C[Li]C(CC)C#CC#CC#CC1CC1C1#CBrCCN1,False,791
