original_cfs,true_cf,improved_cfs,feasible_cf,graph_idx
C#[Sn](C([Cu]=Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se][Pt]#[Cu]1)C1[Al]=[PbH][Au]C1[Nd]#[K],True,C#[Sn](C([Cu]=Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se][Pt]#[Cu]1)C1[Al]=[PbH][Au]C1[Nd]#[K],False,1303
C#[Sn](=C1=C#C[Au]C=1[Nd]#[Al])C(CCl#[Ba])[Pt][AlH]1#[Ag][Cr]#[Se]#[Mo]#[Co]1,True,C#[Sn](=C1=C#C[Au]C=1[Nd]#[Al])C(CCl#[Ba])[Pt][AlH]1#[Ag][Cr]#[Se]#[Mo]#[Co]1,False,192
C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Mo]#[Cu]1)C1#[Yb]#[Ba][Au]C1[Nd]#[K],True,C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Mo]#[Cu]1)C1#[Yb]#[Ba][Au]C1[Nd]#[K],False,600
C#[Sn](C1=C=C[Au]C1[Nd]#[K])C(CCl#[Ba])[Pt][Zn]1#[Ag][Cr]#[SeH]=[Mo]#[Co]1,True,C#[Sn](C1=C=C[Au]C1[Nd]#[K])C(CCl#[Ba])[Pt][Zn]1#[Ag][Cr]#[SeH]=[Mo]#[Co]1,False,470
C=[Sn](C([Cu]Cl=[Ba])[Pt][Li]1=[Ag][Cr]=[SeH][Pt]=[Cu]1)C1CC[Au]C1[Nd]=[K],True,C=[Sn](C([Cu]Cl=[Ba])[Pt][Li]1=[Ag][Cr]=[SeH][Pt]=[Cu]1)C1CC[Au]C1[Nd]=[K],False,1147
C#[Sn](C(=C=Cl#[Au])[Pt][Cr]1#[Ag]#[Cr]#[Se]#[Mo]#[Co]=1)C1#C#[Ba][Au]C1[Nd]#[Al],True,C#[Sn](C(=C=Cl#[Au])[Pt][Cr]1#[Ag]#[Cr]#[Se]#[Mo]#[Co]=1)C1#C#[Ba][Au]C1[Nd]#[Al],False,1291
C=[Sn](C([Cu]Cl=[Ba])[Pt][Li]=[Ag][Cr]=[SeH][Pt]=[Cu])C1CC[Au]C1[Nd]=[K],True,C=[Sn](C([Cu]Cl=[Ba])[Pt][Li]=[Ag][Cr]=[SeH][Pt]=[Cu])C1CC[Au]C1[Nd]=[K],False,42
C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Pt]#[Cu]1)C1#[Yb]#[Ba][Au]C1[Nd]#[K],True,C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Pt]#[Cu]1)C1#[Yb]#[Ba][Au]C1[Nd]#[K],False,594
C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Mo]#[Cu]1)C1#[Yb]#[Ba][Au][Li]1[Nd]#[K],True,C#[Sn](C(#[Pd]#Cl#[Ba])[Pt][Li]1#[Ag][Cr]#[Se]#[Mo]#[Cu]1)C1#[Yb]#[Ba][Au][Li]1[Nd]#[K],False,1121
C=[Sn](C(CCl#[Ba])CC1=[Ag][Cr]=[SeH][Pt]=[Co]1)C1C=C[Au]C1[Nd]=[K],True,C=[Sn](C(CCl#[Ba])CC1=[Ag][Cr]=[SeH][Pt]=[Co]1)C1C=C[Au]C1[Nd]=[K],False,753
